"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.HighLevel","Answer.LowLevel1","Answer.LowLevel2","Answer.LowLevel3","Answer.LowLevel4","Approve","Reject"
"35NNO802AVJHW3Z4C2NGXQPURYOINS","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:57 PDT 2018","4","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 19 06:27:04 PDT 2018","","","3AAPLD8UCD4IH5RYTIW9VWQSTI7HTU","A2KTQ9M7CW05XF","Rejected","Tue Jul 03 20:25:31 PDT 2018","Tue Jul 03 20:26:56 PDT 2018","Fri Jul 06 20:26:56 PDT 2018","","Fri Jul 06 06:13:00 PDT 2018","No spatial references, and doesn't describe the functionality of the app","85","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.gau.go.launcherex.theme.fashion.flower-screens/screenshot_1.png","Date and time","Applications","Background Burberry with apps above","Additional apps only a few","Simple background with appa"
"35NNO802AVJHW3Z4C2NGXQPURYOINS","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:57 PDT 2018","4","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 19 06:27:04 PDT 2018","","","3M23Y66PO3U15GU28Z0FO05GIEYS6M","A2MZSQK8EGQU5H","Rejected","Sat Jul 07 03:14:13 PDT 2018","Sat Jul 07 03:15:59 PDT 2018","Tue Jul 10 03:15:59 PDT 2018","","Mon Jul 09 06:27:04 PDT 2018","Provides one word answers to questions that require full sentences (did not read the instructions)","106","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.gau.go.launcherex.theme.fashion.flower-screens/screenshot_1.png","charge","network","no volume","mail","messages and calls"
"35NNO802AVJHW3Z4C2NGXQPURYOINS","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:57 PDT 2018","4","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 19 06:27:04 PDT 2018","","","3PIWWX1FJKTKU8QJ5OLQ53JY7UOJJ7","A3CA7SCTM4H9IO","Rejected","Mon Jul 02 08:26:47 PDT 2018","Mon Jul 02 08:30:28 PDT 2018","Thu Jul 05 08:30:28 PDT 2018","","Tue Jul 03 07:52:55 PDT 2018","Copied and pasted examples into the descriptions boxes instead of completing the task; descriptions have nothing to do with the image.","221","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.gau.go.launcherex.theme.fashion.flower-screens/screenshot_1.png","Screen to set a new password after it has been forgotten by the user.Screen where the user can view a scrolling list of recipes for them to share, like, or use for cooking.",": In the top left there is a back button to return the user to the previous screen.","Above the mp3 list are two buttons to display either a list of Sans Best Songs or My Favorites.","At the top far right is a search button to search for mp3s within the app","In the top left hand corner, there is a button that the user can click to take them to the previous screen."
"3OKP4QVBP2KWGTZKDAI8Q8SEDEXAG8","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:54 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:54 PDT 2018","","","3E13VNJ1NOIH4GQ9XHUKP28C04E1I0","A2VNBZ7P595W77","Approved","Tue Jul 03 02:41:36 PDT 2018","Tue Jul 03 03:25:56 PDT 2018","Fri Jul 06 03:25:56 PDT 2018","2018-07-06 10:26:23 UTC","","","2660","100% (109/109)","100% (24/24)","100% (24/24)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.medicaljoyworks.clinicalsense-screens/screenshot_4.png","screen showing the page of an medical application clinical sense","in the center of the screen is  message to send email","to the right of the message is a button to close the current page.","NA","NA"
"39KMGHJ4RZX34CQH76WCGATLXBX005","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","3Z2R0DQ0JI1CDW6JK24796KP0HLE2L","A349TSPKFHIWE1","Approved","Tue Jul 03 02:42:13 PDT 2018","Tue Jul 03 02:53:09 PDT 2018","Fri Jul 06 02:53:09 PDT 2018","2018-07-06 09:53:26 UTC","","","656","99% (1129/1140)","100% (20/20)","100% (20/20)","http://173.255.245.197:8080/GEMMA-CP/Clarity/org.aha.gd.asheevents-screens/screenshot_1.png","screen shows email filling option for ASHE Events of an app","in the middle left there is a heading ASHE Events with some text below","in the middle there is a filling form for email address","in the middle left there is a cancel option","in the middle right there is a request password option"
"3HEM8MA6H9ZUGMZ05P5HAHLBIN6PQY","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","3LUY3GC630NNWOSFZS1DZ901P4XP7L","A3AJM8TBH0D9C2","Approved","Tue Jul 03 01:20:30 PDT 2018","Tue Jul 03 01:28:13 PDT 2018","Fri Jul 06 01:28:13 PDT 2018","2018-07-06 08:28:26 UTC","","","463","100% (12/12)","100% (12/12)","100% (12/12)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hoteltonight.android.prod-screens/screenshot_6.png","Screen Shows Customer of Global support number list","On top of Left Side arrow Back to go Previous Page","In screen All Global supporters Number","In right down side Minimize Button","On screen  All country customer Number are there"
"3SU800BH86F78R7WMB4BKN8AQ4YUQZ","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","3FUI0JHJPYLYOGM5ZI1G9PLKF6V33U","A2VNBZ7P595W77","Approved","Tue Jul 03 02:41:00 PDT 2018","Tue Jul 03 03:03:33 PDT 2018","Fri Jul 06 03:03:33 PDT 2018","2018-07-06 10:04:20 UTC","","","1353","100% (109/109)","100% (24/24)","100% (24/24)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mico-screens/screenshot_5.png","Screen showing a login page","in the center of the screen is a text box to enter email address","below the email  text box is a text box to enter password","below the password text box is a button to login","in the top left corner is a button to go to previous page"
"3YZ7A3YHR5G20SWUDEL87BVV9BQS54","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","33SA9F9TRYHYPC4QYMTEXD0E4OFWEK","A349TSPKFHIWE1","Approved","Tue Jul 03 02:41:48 PDT 2018","Tue Jul 03 02:50:31 PDT 2018","Fri Jul 06 02:50:31 PDT 2018","2018-07-06 09:51:20 UTC","","","523","99% (1129/1140)","100% (20/20)","100% (20/20)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.maxmpz.audioplayer-screens/screenshot_3.png","screen shows poweramp app change log options","on the top right corner there is a cross option for deleting the page","in the middle there is a heading poweramp of the app","in the middle there are some text about the app for changing logs","in the lower middle there is a change log option"
"3ZICQFRS315X8I2XFUMWS8ZTXPYZZN","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","3VHP9MDGRO7HHSYHC6DJ31EBO2MCF5","A29ZTF7JUO8F39","Approved","Mon Jul 02 06:52:42 PDT 2018","Mon Jul 02 07:01:29 PDT 2018","Thu Jul 05 07:01:29 PDT 2018","2018-07-05 14:02:20 UTC","","","527","100% (2/2)","100% (2/2)","100% (2/2)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.measuresquare.tile_calc-screens/screenshot_2.png","Screen shows number of tile to calculate in a room","There is an option in the settings to choose number of tiles.","There is also an advanced setting","Number 7 is selected represented by a blue color","there are number from 0 to 11"
"3B0MCRZMBRH9GAYL5CQSACV1DRKPP7","30XGWYMV4MR2IBMH11WU3D8UK1J5VE","Describe Functionality of User Interface","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.12","Mon Jul 02 06:45:55 PDT 2018","1","BatchId:3288355;OriginalHitTemplateId:862366346;","3600","259200","Thu Jul 12 06:45:55 PDT 2018","","","3CTOC39K38DRADPH4FWT2DEPG52J7Q","A2VNBZ7P595W77","Approved","Tue Jul 03 02:40:46 PDT 2018","Tue Jul 03 02:58:52 PDT 2018","Fri Jul 06 02:58:52 PDT 2018","2018-07-06 09:59:23 UTC","","","1086","100% (109/109)","100% (24/24)","100% (24/24)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.google.android.apps.m4b-screens/screenshot_6.png","screen shoeing google maps","in the center of the screen is a text box to enter palces to search","to the right of text box is a button to do voice search","to the left of text box is a button to select menu","in the bottom right corner is a button to move pointer to current location"
