"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.HighLevel","Answer.LowLevel1","Answer.LowLevel2","Answer.LowLevel3","Answer.LowLevel4","Approve","Reject"
"3BVS8WK9Q0IFVUA79CI76VP0BK8IBO","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:09 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 13:57:10 PDT 2018","","","3XLBSAQ9Z5ZHASULM1ZFQ72F1Y7Z7B","A3UCAJPHZLEO30","Rejected","Wed Jul 11 04:08:55 PDT 2018","Wed Jul 11 04:15:23 PDT 2018","Sat Jul 14 04:15:23 PDT 2018","","Thu Jul 12 13:57:09 PDT 2018","Bad grammar and high level description doesn't describe the screen's functionality.","388","27% (7/26)","27% (7/26)","27% (7/26)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.fashiongeek.mehndidesigns2016-screens/screenshot_2.png","The screen gives the user various apps available","At the bottom the screen has the always and just once options for the user to choose from","At the bottom left the screen has the back button for the user to go back.","At the bottom on the screen the middle button returns the user to the home scree page.","At the top most left corner of the screen,the user can be able to see active actions of the phone","",""
"33Q5P9PUSP9K0PRNNG2OHAY8PIBCZN","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:22 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:32:12 PDT 2018","","","3URFVVM1665J836HZ9SQ0ZGZ9X8ZUT","A2ZZB9FPELD4J4","Rejected","Mon Jul 09 14:56:38 PDT 2018","Mon Jul 09 14:59:56 PDT 2018","Thu Jul 12 14:59:56 PDT 2018","","Thu Jul 12 10:32:11 PDT 2018","Most of the low level descriptions don't contain functionality descriptions","198","33% (13/39)","33% (13/39)","33% (13/39)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.punchh.moes-screens/screenshot_3.png","Main screen for the AR viewer","Button sizes are perfect","Plenty of different selections to make","Nice colourful screen.","Option to go back also","",""
"31GN6YMHLPFWDBBE9F8HXB88UJSWSA","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:10 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:32:17 PDT 2018","","","3JBT3HLQF9P6GYYLINTWQTT01GPPZW","AOI7EOWWX4NWK","Rejected","Mon Jul 09 15:56:37 PDT 2018","Mon Jul 09 16:03:17 PDT 2018","Thu Jul 12 16:03:17 PDT 2018","","Thu Jul 12 10:32:17 PDT 2018","One or more low-level captions does not accuratley describe the image.","400","88% (7/8)","88% (7/8)","88% (7/8)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.bcbssc.android.careondemand-screens/screenshot_1.png","this screen appears to be a log in or registeration window for a medical service search app.","there are two circles on the bottom indicating there are two pages which can be viewed by user with a finger swipe left to right.","on the very bottom there is a U-turn arrow button allowing to go back to previous screen.","on the bottom there is a mail icon which allows the user to email the link.","on the bottom right there is a button allowing to share the link in different social networks.","",""
"3ODOP6T3AS7RZABW5UNSB1CDCWV24S","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 08:42:47 PDT 2018","","","38F71OA9GUJUQEA8PV7X6XJOL3EFMT","A4TH0P4UFF7I7","Rejected","Thu Jul 12 08:59:23 PDT 2018","Thu Jul 12 09:00:48 PDT 2018","Sun Jul 15 09:00:48 PDT 2018","","Fri Jul 13 08:42:47 PDT 2018","99% of this worker's submissions blatantly disregarded the task. Descriptions consistently lack functionality, and the bottom bar is described in virtually every one of his descriptions, even the instructions say not to do so.","85","30% (22/74)","30% (22/74)","30% (22/74)","http://173.255.245.197:8080/GEMMA-CP/Clarity/net.metapps.meditationsounds-screens/screenshot_6.png","This is a pop up window for some app that requires action before moving on","The main app is in the background, greyed out by the popup","There is a title for the dialogue box that describes the contents of the box","There are a few option within the dialogue box that you can select, allowing that setting to be set","There is a persistent navigation bar at the bottom for the OS","",""
"3D5G8J4N5ARKDMOO858BLELGPT4VTO","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:22 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 20:29:55 PDT 2018","","","3OUYGIZWR8L9EDSVETG4KUQEJFIP0S","A2ZZB9FPELD4J4","Rejected","Tue Jul 10 06:57:05 PDT 2018","Tue Jul 10 06:58:45 PDT 2018","Fri Jul 13 06:58:45 PDT 2018","","Thu Jul 12 20:29:54 PDT 2018","Most of the low level descriptions don't contain functionality descriptions","100","33% (13/39)","33% (13/39)","33% (13/39)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.binarytoys.speedometer-screens/screenshot_2.png","This is a speedometer licence agreement.","Top line states the page your on","Instructions for your licence on this form","Nice size letters","Good visual colouring","",""
"38G0E1M85MSZDZ3D8AYLQA7I87BVUF","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:22 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 08:42:47 PDT 2018","","","39U1BHVTDME3NXKZEX77R2PIB3TT3K","A4TH0P4UFF7I7","Rejected","Wed Jul 11 16:23:38 PDT 2018","Wed Jul 11 16:24:43 PDT 2018","Sat Jul 14 16:24:43 PDT 2018","","Fri Jul 13 08:42:47 PDT 2018","99% of this worker's submissions blatantly disregarded the task. Descriptions consistently lack functionality, and the bottom bar is described in virtually every one of his descriptions, even the instructions say not to do so.","65","30% (22/74)","30% (22/74)","30% (22/74)","http://173.255.245.197:8080/GEMMA-CP/Clarity/audio.mp3.music.player-screens/screenshot_6.png","This is a pop up window for some app that requires action before moving on","The main app is in the background, greyed out by the popup","There is a title in the box describing the functions of the box","There are a few options within the box that you can select with checks","There is a persistent navigation bar at the bottom for the OS","",""
"3J06WJ78HN7ZQESDD08QMW91MEKVV4","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:23 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:57:48 PDT 2018","","","3P4MQ7TPPYZ8U6UVT4VS9RH8TB7BBE","A9LX66EQWDRQ5","Rejected","Mon Jul 09 22:23:25 PDT 2018","Mon Jul 09 22:30:18 PDT 2018","Thu Jul 12 22:30:18 PDT 2018","","Thu Jul 12 10:57:48 PDT 2018","High level description is incorrect; x radar is an app, not a person.","413","67% (4/6)","67% (4/6)","67% (4/6)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.rubisoft.gayradar-screens/screenshot_4.png","This screen allows the user to authorize another person to access their account on Twitter.","In the top left is a blue bird symbol, indicating that this page is affiliated with Twitter.","Beneath the blue bird is an authorization text which states the name of the individual that is to be given access to the user's Twitter account.","Beneath the authorization text is a text field for the user to enter their username.","Beneath the username text field is another text field for the user to enter their password.","",""
"30ZKOOGW2WTZCE9HVRX5JLO8C0D1AL","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:37 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 20:29:54 PDT 2018","","","3HFNH7HEMI1RPT4VS8KW5R34VRSQGK","A2ZZB9FPELD4J4","Rejected","Tue Jul 10 06:48:39 PDT 2018","Tue Jul 10 06:51:01 PDT 2018","Fri Jul 13 06:51:01 PDT 2018","","Thu Jul 12 20:29:54 PDT 2018","High level caption does not describe functionality","142","33% (13/39)","33% (13/39)","33% (13/39)","http://173.255.245.197:8080/GEMMA-CP/Clarity/io.hobnob.hobnob-screens/screenshot_2.png","This is the homepage of something that needs a update","Top left side of the screen is the apps that are open.","The top right of the screen is signal, battery power of the phone.","In the centre is the app informing you that the app needs an update","Also 4 more keys at the bottom for messages and invites.","",""
"30IRMPJWDZ6THWHK5CP9JQ9HLA0KRE","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:12 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:32:07 PDT 2018","","","3KV0LJBBH38RT4FHGQ7RNMX6NUARMO","A3542PB4Z0NE80","Rejected","Mon Jul 09 14:11:39 PDT 2018","Mon Jul 09 14:12:49 PDT 2018","Thu Jul 12 14:12:49 PDT 2018","","Thu Jul 12 10:32:06 PDT 2018","Most of the low level descriptions don't contain spatial references","70","13% (1/8)","13% (1/8)","13% (1/8)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.rainbowshops-screens/screenshot_5.png","Search by category function to chose which department you want to view","Menu icon on the top left","a button to cancel the department choice","showing sales available now","a button on the top right to view shopping bag","",""
"3RDTX9JRTYOZIHEES10EO04194V97B","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:37 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 13:57:02 PDT 2018","","","3HSYG7LRBKLAGC2J5ULE7XJO36OKK4","AU01P6YB9J5JX","Rejected","Tue Jul 10 19:05:19 PDT 2018","Tue Jul 10 19:46:54 PDT 2018","Fri Jul 13 19:46:54 PDT 2018","","Thu Jul 12 13:57:01 PDT 2018","Low level 3 is wrong, and low level 4 is a copy of low level 1","2495","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.doctorondemand.android.patient-screens/screenshot_3.png","this screen allows the user to read the terms of use of doctors on demand","at the top left hand is an arrow that you can click on to go back to the previous screen","at the top right hand the is a red button marked done that the reader can click on when finished reading the information","at the top right hand corner dr is highlighted in blue and the reader can also click on this for more information","the small arrow to the extreme upper left and corner can be used to take the reader back to the orginal screen","",""
"371QPA24C2B4RA8Q1ROMEQE00PY1T6","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:10 PDT 2018","3","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 09:24:23 PDT 2018","","","31IBVUNM9TMDG14H3N8OTT20BCQFV3","AM1L23HD95KO8","Rejected","Wed Jul 11 08:53:12 PDT 2018","Wed Jul 11 08:55:50 PDT 2018","Sat Jul 14 08:55:50 PDT 2018","","Wed Jul 11 10:35:31 PDT 2018","Posting 'none' or 'n/a' for all descriptions instead of completing the task","158","0% (0/5)","0% (0/5)","0% (0/5)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.digitalenergy.ambigramstudio-screens/screenshot_3.png","n/a","N/A","N/A","N/A","N/A","",""
"371QPA24C2B4RA8Q1ROMEQE00PY1T6","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:10 PDT 2018","3","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Thu Aug 02 09:24:23 PDT 2018","","","3WMINLGALCQML1H91QRRP03KTQ9CA2","A22Y27CKGBT89O","Rejected","Wed Jul 11 15:07:12 PDT 2018","Wed Jul 11 15:08:42 PDT 2018","Sat Jul 14 15:08:42 PDT 2018","","Fri Jul 13 09:24:22 PDT 2018","None of the low level descriptions describe functionality (see the examples in the instructions).","90","66% (121/183)","66% (121/183)","66% (121/183)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.digitalenergy.ambigramstudio-screens/screenshot_3.png","This is a notification displaying information regarding the app and developer.","A notification popup is displayed in the center of the screen.","The title of the notification, About, is displayed in the top left of the notification.","A paragraph of text is in the center of the notification window.","An 'OK' button is displayed at the bottom center of the notification window.","x",""
"39KMGHJ4RZX34CQH76WCGATLYMV00Q","3TLBHISGTP8KF30SRGWBACU99N6BAM","Describe Functionality of Mobile GUIs (~2-4 min)","Please view and describe the the functionality of the screenshot of a mobile application","image, tag, picture, tagging, screenshot, mobile, application, user, interface, functionality","$0.20","Mon Jul 09 14:04:23 PDT 2018","2","BatchId:3296283;OriginalHitTemplateId:862366346;","3600","259200","Wed Aug 01 10:57:48 PDT 2018","","","32KTQ2V7RE2LP4JVM975W1XCHA3M9Z","A9WGDBDXUNLOD","Rejected","Mon Jul 09 21:54:38 PDT 2018","Mon Jul 09 21:57:12 PDT 2018","Thu Jul 12 21:57:12 PDT 2018","","Thu Jul 12 10:57:47 PDT 2018","Most of the low level descriptions do not describe functionality.","154","0% (0/1)","0% (0/1)","0% (0/1)","http://173.255.245.197:8080/GEMMA-CP/Clarity/com.raycom.wtol-screens/screenshot_5.png","Screen is loaded with news station app providing various news categories.","Top right shows current weather.","Screen shows Top Headlines while in Home tab.","Second tab from the left is for Top Headlines.","Third tab from the left, next to the Top Headlines tab, is for Local news.","",""
