"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"seq2seq_combined","The top of the screen has a button.","It does not state where on the top the button is and what it's function is.","To state that on the top right is a double arrow button that returns the user to the previous screen."
"seq2seq_combined","It seems to have a place on the top left that could be a menu link","It seems to be accurate","It is an unusual picture for a menu link, but acceptable"
"seq2seq_combined","you can select something on this screen.","It doesn't include what you are selecting on this screen.","It could finish the description of the screen presented."
"seq2seq_combined","Nothing. There doesn't seem to be a button at the top of the screen, and it doesn't apply to what this screen is doing in any case.","Everything.  There is no button, it doesn't describe what's actually happening.","By starting over and including the correct information that the box in the center of the screen allows the user to add contact information."
"seq2seq_combined","top of the screen","button part","at the top of the screen there is provision input email id"
"seq2seq_combined","there is a button at the top of the screen","It's cut off, or unfinished","It could say what the button at the top lets the user do"
"seq2seq_combined","In the dashboard show some options but don't know what they mean unless placing mouse on the symbol or see a small text stated with symbol or a button","There's nowhere at the top of the screen a clear option or a button for the user to make a selection or select","Showing buttons with small text representing a certain function"
"seq2seq_combined","There is a button at the top of the screen","It is incomplete therefore inaccurate","The button at the top of the screen allows the user to exit/go back but is not the main functionality; the application is a realty application used for viewing events; the main part of the screen shows the details and preview image for an event"
"seq2seq_combined","there are button at the top of the screen.","It does not describe what the buttons do accurately. It does not tell us about it at all.","I would improve this by saying what button since there are multiple clickable items. I would say, the user can click the button in top left corner to ""for example"" for local weather updates."
"seq2seq_combined","Nothing, because there is no button at the top of the screen. Even if some of the functions like ""Refresh"" are considered buttons, they are not accessible because the alert window is in the foreground.","There is no button at the top of the screen.","The description should address the alert regarding Location Service."
"seq2seq_combined","It is a page to select what you want.","There is no button at the top of the page. There are check boxes on the page.","It could read something like, ""there are check boxes on the page to select...."
"seq2seq_combined","There is something at the top of the screen.","It is not a button. It's either a 24 hour clock or a counter of some type. The description also fails to describe what this nonexistent button is supposed to select.","Rewrite it from scratch."
"seq2seq_combined","There probably is a button at the top of the screen to select something. I can clearly see it at the top of the screenshot.","I don't think the button at the top is actually the focal point of the screenshot, which is what the description implies. It also isn't a complete sentence, so it's really hard to understand and interpret.","The description first could be a complete sentence. Second, the description could talk about how users can provide feedback to the app, which is what the focal point of the screenshot looks to be."
"seq2seq_combined","Nothing","The entire description","Use correct description, remove unnecessary words and add words to complete the description"
"seq2seq_combined","I see a button, so they got that right","There is no button that I can see at the top of the screen","Accurately describe what is happening on the screen"
"seq2seq_combined","There are buttons on the top of the screen.","There is not enough information to say if anything is indeed not accurate.","By having a complete description."
"seq2seq_combined","None","All of it","To use right instead of left"
"seq2seq_combined","Nothing","There is no top button.","The description could stated the location of buttons."
"seq2seq_combined","There is a button on the top but not sure where he was going with that information.","It is not complete and does not tell you what will happen.","It is not complete a, needs to finish statement"
"seq2seq_combined","Correct content-wise, but linguistically weak and cumbersome.","Comma and preposition missing","At the top of the screen, there is a button for [...]"
"seq2seq_combined","There are a few buttons on the top","Doesn't specify which button is being talked about. The main focus is not on the top buttons but on the message overlay","It could refer to which button is being detailed."
"seq2seq_combined","There is a button at the top of the screen.","The description is cut off.","I would finish the description to make it clear."
"seq2seq_combined","There are buttons on the top of the screen","The description is not complete.","Finish the description to describe what to do."
"seq2seq_combined","There are buttons on the top of the screen.","The description is incomplete. It doesn't specify which button, which side of the screen, or what it does.","There are several buttons along the top of the screen that allow the user to access different functions."
"seq2seq_combined","none","there is no selection button at the top","the sentence is incomplete and does not depict what is on the screen."
"seq2seq_combined","The top of the screen will allow the user to perform an action.","There is no button at the top of the screen","It could eliminate button and describe what the top of the screen does."
"seq2seq_combined","There is a button at top of screen.","The description is incomplete.","Tell me which button you are describing."
"seq2seq_combined","There are no parts of this description that are accurate.","Everything - this description is gibberish.","""This screen shows an alert to the user about a server connection problem."""
"seq2seq_combined","There is a button on the top to select something.","It does not state what it allows you to select","State the main purpose of this page and use a complete sentence."
"seq2seq_combined","There is a button at the top of the screen.","It doesn't say what it's for.","Say what the button's for."
"seq2seq_combined","There is a button for the user to select","There isn't anything to the top right for the user to select.","Email recovery screen"
"seq2seq_combined","None","The top of the screen there is a button.","This is a user log-in screen for ProtonMail with prompts for user name and password."
"seq2seq_combined","There definitely appears to be a button along the top edge of the screen.  In this way the description is accurate.","Information about what the button does is completely omitted.  Therefore, depending on who is interpreting it, a user could identify several of the buttons to be at or near the top of the screen.","Add the missing information to completely and properly describe the button."
"seq2seq_combined","There is a button at the top of the screen.","I can't determine what they meant about the button's function since it is not described.","It needs to describe what the button at the top of the screen does for the user."
"seq2seq_combined","NONE","IT IS INCOMPLETE, IT MAKES NO SENSE","IT COULD SAY AT THE TOP OF THE SCREEN THERE IS A BUTTON FOR THE USER TO USE TO SEARCH, OR GO BACK"
"seq2seq_combined","There is a hamburger menu at the top of the screen.","The description does not mention what the button is for.","Describe what the button is used for."
"seq2seq_combined","There is a box to type in.","It does not mention the country list or the police scanner aspect.","Mention the country list and police scanner."
"seq2seq_combined","None","There is no indication that there is any button at the top of the screen for the user to interact with the App.  The ""Get Started"" button is at the bottom, which would be the button to touch to move forward with this App.","Change the wording to state that at the bottom of the screen, touch the ""Get Started"" button to launch the App."
"seq2seq_combined","N/A","there is no button and it doesn't tell where","tell where the button actually is"
"seq2seq_combined","All aspects until the sentence just dangles","The part where the sentence runs out and there's nothing else there","It needs to have a full sentence"
"seq2seq_combined","It's possible that there's a pop up button.","It doesn't explain what the button does.","It could describe the rest of the screenshot and explain what the buttons does."
"seq2seq_combined","not sure, description is incomplete.","the description is incomplete.","complete the description."
"seq2seq_combined","none of it","there is no button at the top of the screen, at all","actually provide information that is pertinent to the screenshot"
"seq2seq_combined","Its in english, and it tells you to click on something","does not describe what the function or location of buttom is","having the destination included in the description"
"seq2seq_combined","There is text at the top of the screen, which is possibly a button","Does not describe what the button will do if pressed, and I'm not actually sure it is a button, and that something will happen if you click it.","Describe functions of the bottom buttons instead, or if the top letter IS clickable, describe what it does"
"seq2seq_combined","There is nothing accurate about the description.","There is no button at the top of the screen.","It is an incomplete description for one thing.  It says ""the top of the screen there is a button for the user to.""  There is obviously a word missing at the end.  I also do not see the button it is talking about."
"seq2seq_combined","There is a button to enter the username.","The button is not 100% near the top. The button is actually closer to the middle.","It should only mention the ""Enter"" button."
"seq2seq_combined","None.","There is no button at the top of the screen. The description is both inaccurate and incomplete.","I would describe the screenshot in the following way:This screenshot displays an app in which the user can select a font style for their Android device."
"seq2seq_combined","There is a button at the top of the screen.","There are actually two buttons at the top of the screen, not just one.","It should say ""There are two buttons at the top of the screen.  One allows you to sign in.  The other allows you to create a new account""."
"seq2seq_combined","there is a button at the top of the screen","nothing","Describe what the button is used for"
"seq2seq_combined","none","there is no button at the top of the screen","On the screen is a message about the terms, conditions, and privacy policy."
"seq2seq_combined","nothing","the top of the screen there is a button","this screen allows the user to sign into the app"
"seq2seq_combined","Nothing about the description is accurate.","The description is incomplete so the entire thing is inaccurate.","It can be improved by saying exactly what the button on the top left of the screen allows the user to do."
"seq2seq_combined","Nothing really the last screen had a button.","This is a loading screen you have to wait for it to be loaded.","Say loading screen."
"seq2seq_combined","None","All since it is an unfinished thought","The middle of the screen allows you to rate the app"
"seq2seq_combined","The description talks about a button and the star icon could be a button.","The sentence is not complete.","It does not even seem to have an actual button in first place."
"seq2seq_combined","there is a button on top of screen","doesn't say what to do with the link","add the words to edit their profiles"
"seq2seq_combined","The description is not complete so not 100% sure what it is descibing","The description is not complete so don't know if it is accurate","Description needs to be complete to indicate what is it describing"
"seq2seq_combined","none","There is no button that the description describes.","It could actually describe the screenshot."
