"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"neuraltalk_high","There is nothing on the screen to allow choosing a country.","The screen describes how to decorate a living room.","Remove everything on the screen and insert a method to choose a country."
"neuraltalk_high","None, there is no place to sign in","There is no place to sign in","Correct the message so that it doesn't say there is a place to sign in"
"neuraltalk_high","Nothing is accurate about this description","That you can select a country on this screen.","It could be about how this is the start screen for Battery Optimizer."
"neuraltalk_high","Nothing. This is a screen that shows the charging status of the device's battery.","Everything. There is nothing here about choosing a country.","To indicate that this screen allows the user to monitor the charging status of the device's battery."
"neuraltalk_high","nothing","country part","allows user to select year"
"neuraltalk_high","the screen does allow the user to sign up for something","The screen allows user to register to receive notifications, not sign in","It could repeat the info in the call to action verbatim"
"neuraltalk_high","none","No where to list country","State on page list country or show different countries to choose from pull down menu"
"neuraltalk_high","This screen does allow a log-in through entering an email","Nothing is inaccurate","Clarify that an email is used to sign-in by being typed into a field; describe the advancement button at the bottom and the back arrow for users."
"neuraltalk_high","the only accurate part of the description is"" the screen allows the user""","It says that you can "" select a country"" but there is no where you can select a country.","To improve the description it could say The screen allows the user to select a contact. I would only leave it at that so it is simple."
"neuraltalk_high","The screen certainly allows a user to make a geographical selection, but only to the level of city or state.","The screen has no indication that one could choose a country. Since ZIP codes are used just in the United States, the assumption I make is the screen only allows selecting locations in the U.S., not in other countries.","Explain that the screen allows the user to choose a city and state, or a ZIP code. Do not mention choosing a country."
"neuraltalk_high","It is a bank website. This just looks like an information page, not a log in page.","It looks like, from the screen shot, that the user has already logged in to the account, because it has account information. There is no where to ""Log In""","This looks like the first page AFTER the user has logged in (since it has amounts listed)."
"neuraltalk_high","There IS part of a country on the screen.","I don't think ""country"" is the right word. Perhaps they meant ""City.""","Find someone who knows what this app does and have them write it."
"neuraltalk_high","The description states that users may be able to select their country, which has everything to do with location. In this sense, it's a fairly accurate description because the screenshot prompts the user to select their location.","I think the description does not mention exact location. It mentions that users can select their country. However, if they select something like ""China"" or the ""U.S.A."" this can get a little vague, since they are very large areas.","The description could mention that users should choose their exact latitude and longitude in order for the phone to better understand where the user is located."
"neuraltalk_high","Nothing","it is not a sign in screen","use correct description and reword"
"neuraltalk_high","Nothing, except that it allows me to select somethng","It says nothing about my country, but instead refers to brightness","Accurately describe what I am able to select"
"neuraltalk_high","None, this screen is not for signing into any app.","All aspects of this description is not accurate.","By having an actual sign in screen or stating that the screen is for clearing data."
"neuraltalk_high","None","There is nothing about a country","Change to talk about feedback"
"neuraltalk_high","The screen allows the user to make a decision.","The description states a sign in prompt which is not screened.","The description should included the tabs available to the user."
"neuraltalk_high","there is an option in the center of the screen","not sure if it meets the intent of the description","provide better instructions on where to click"
"neuraltalk_high","N/A","Accurate, but lengthy.","Via this screen, the user can sign into the app."
"neuraltalk_high","Nothing","Seems to be the wrong screen. This screen is a spreadsheet. Not a selection screen","Mention of the correct screen would be needed."
"neuraltalk_high","None","This does not look like a typical log-in screen.","I would make a new description since it's not accurate."
"neuraltalk_high","This is a screen from the app.","There doesnt appear to be a way to login. Unless one of the icons does it.","The description could explain how to login."
"neuraltalk_high","None.","""the screen allows the user to select a country"". There is no where on the screen that mentions anything about a country.","""The screen allows the user to confirm if they want to import previously exported data."""
"neuraltalk_high","none","this is not a login screen","Indicate that this is the home screen and not a login screen"
"neuraltalk_high","The user can make a selection.","The selection is not a country; it's a language.","Country could be changed to language and the other aspects of the screen could be mentioned as well."
"neuraltalk_high","none","all","The description doesn't match at all."
"neuraltalk_high","Nothing. The description is completely wrong.","This screen has nothing to do with user logging into an app.","This screen shows the user a list of media files that can be played from within a playlist."
"neuraltalk_high","The screen allows the user to sign into the app.","Everything is accurate.","Add that they sign into the app with their email."
"neuraltalk_high","Nothing.","This is not a login page.","Describe the options on the page."
"neuraltalk_high","It is a screen","There is no country option.","VIN Decoder."
"neuraltalk_high","None","allows the user to select a country","This screen is an error message saying that it can't connect to the server."
"neuraltalk_high","It's hard to say as I cannot read the language in the screen.  I think the only accurate part is that the screen allows the user to do something, make a selection.","I'm pretty sure this is not where a user would sign in to the application as there are no input fields for login information to be provided.  I'm pretty sure that is the inaccuracy here, but I can't read the text in the screen.","I think, just make sure it's actually describing this screen.  If it is, then explain in more detail how a user would go about logging in."
"neuraltalk_high","There is nothing accurate about this description.","It is not accurate how it claims the screen allows the user to sign into the app. It does not.","It needs to say that the screen allows the user to select a location on a map."
"neuraltalk_high","NONE","ALL OF THEM","IN THE CENTER OF THE SCREEN IS A BOX FOR THE USER TO ENTER THEIR EMAIL ADDRESS TO RESET THEIR PASSWORD"
"neuraltalk_high","This is the Sign In page for this app.","None - this is the Sign In page for this app.","Nothing - this description is accurate and complete."
"neuraltalk_high","Nothing","There are no countries listed.","List the actual options."
"neuraltalk_high","None","Description does not appear to match the screenshot at all.  It appears that the page displayed is used to search for anything on the GameStop site.","Change the description to match what actually happens on the page."
"neuraltalk_high","N/A","it does not let you sign in to the app","it is for the settings of a web page"
"neuraltalk_high","""The screen allows the user""","""to select a country""","It needs to describe what is actually on the screen about the headphones."
"neuraltalk_high","It's a sign in page.","None","None."
"neuraltalk_high","ability for user to select country","none","n/a"
"neuraltalk_high","nothing on this screen has anything to do with a country","there is nowhere to select a country.","have it actually have something to do with the screenshot"
"neuraltalk_high","It allows the user to select a location by the looks of it","I see no countries listed","perhaps stating that it allows you to pick a location, not country specifically"
"neuraltalk_high","None. The screenshot is not asking for a sign in.","All. The screenshot is asking for you to share the app with friends.","new description: the screen is asking the user to share this app with others"
"neuraltalk_high","The screen has a menu to enter information.","This is not a screen shot of a menu to login to the website.  It is to add a car.","It should be changed to say that this screen allows the user to add a car."
"neuraltalk_high","You may be able to find the name of a country by scrolling through the ""G's.""","You may scroll through the list of ""G's"" but not find a country. There is no screen shot of a country starting with the letter G.","It could describe the process of scrolling to find a country that starts with the letter G."
"neuraltalk_high","The entire description would be accurate.","None.","I would describe the screenshot in the following way:This screen allows the user to input their email and select a country and city."
"neuraltalk_high","This description is not accurate at all.","The description pertains to selecting your location.  It is really a login screen.","It should be changed completely to read ""this screen allows you to log in to your account."""
"neuraltalk_high","No part","This screen is a notification about the function of the app","Describe the screens actual function"
"neuraltalk_high","this screen does allow the user to sign in.","none","the screen allows the user to sign in or create an account."
"neuraltalk_high","nothing","this screen allows the user to sign into the app","nothing"
"neuraltalk_high","The description overall is not accurate.","The screen does not allow the user to sign in at all. In fact, there is nothing on the screen that indicates such an action.","If the description mentioned that the two buttons at the bottom of the page allowed you to accept or reject a user agreement then the description would be improved."
"neuraltalk_high","I think maybe you can find on Google play?","Looks like it's for mailing things what does the muscial note mean? Colored pencils make me think it's for coloring","A better pictorial example, this does not clearly convey what it does"
"neuraltalk_high","None","All","The app has stopped"
"neuraltalk_high","You can select by ""country""","It is not clear what this screen is about since it's a black screen with a loading symbol","Explain better because the whole thing is confusing."
"neuraltalk_high","nothing","the page doesn't allow users to sign into account","the page allows the users to rate the app"
"neuraltalk_high","None","This screen allows you to add notes, not to sign in to the app","Description should state this is where to add notes"
"neuraltalk_high","All of them.","none","n/a"
"neuraltalk_high","none","I see no where to sign in.","This screen allows the app to be downloaded and installed."
"neuraltalk_high","There is no option to sign in to the app so none.","The ability to sign in through the app is inaccurate.","Have a button that could sign into the app from the screenshot."
"neuraltalk_high","none of the description appears to be accurate","the description appears to relate to a different image","have someone redo the description"
