"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"groundtruth_high","This screen allows the selection of four different brightness levels.","There are no inaccurate descriptions.","By stating to select one of the four options might make this screen more user friendly."
"groundtruth_high","There is a box that allows you to give feedback","It is accurate","The description is clear"
"groundtruth_high","This is indeed the Autopten app","This description is accurate.","This description is fine how it is."
"groundtruth_high","Everything. it's an exact, succinct description.","Nothing. It's exactly what it says it is.","Nothing I can see."
"groundtruth_high","learn more about disease","main aspect is disclaimer and privacy polict agreement","displays the disclaimer and data usage agreement for user to authorise"
"groundtruth_high","Everything is as described and accurate","Nothing is inaccurate","It could include more details about the type of living room furniture information being given"
"groundtruth_high","Enter Name and Enter Mail Address","Should had said Email Address instead of Mail address","Say track family and friend by using GPS Live.Share SOS with love ones and invite"
"groundtruth_high","The screen is a preview for the application","Nothing is inaccurate","Add that the preview screen requires users to hit a ""start"" button at the bottom of the page to proceed; hitting that ""start"" button signifies accepting the licensing agreement and privacy notice for the app; the application is a battery optimizer"
"groundtruth_high","It is the screen showing the set parental control page of the app","It is pretty accurate but with this description I think they could have added more.","I would included how to change the controls in the description."
"groundtruth_high","It's clear that the screen show how much has been charged.","I was a bit confused at first, because the description refers to a ""speed"" booster app, yet I see that the screen show 28 minutes left to charge. That's not speedy. Granted, it's a speed booster app, not necessarily a speedy charge app, but I was initially confused.","It could add additional information, noting that the screen shows how complete the charge is and how much time remains for a full charge."
"groundtruth_high","It makes sense. If you're looking for a part for a 1990 car, you would go to the year 1990.","It looks okay.","Maybe use an 'active' description such as, ""Click on the year for the model car to see parts for that model year"" or something like that."
"groundtruth_high","It looks like it does what the description says.","None I can think of","Basic grammar check."
"groundtruth_high","The screenshot clearly demonstrates how to block a caller, according to the number that they want to block. This is extremely accurate because this is what the description says.","The description doesn't discuss how to add a new contact, which is what the screenshot appears to be doing.","The description could demonstrate to users how to add a new contact on their phone, which I believe is the true focal point of the photo."
"groundtruth_high","The languages","Nothing","N/a"
"groundtruth_high","It is true that it shows  a choose location option","it doesn't explicitly say choose location","I would like to know what I am choosing my location for"
"groundtruth_high","All aspects of this description are accurate.","None","Nothing needs improvement."
"groundtruth_high","All of it","None","Maybe use less words"
"groundtruth_high","Nothing.","Nothing.","Nothing."
"groundtruth_high","there is a pop up message on the setting","Not exactly sure where to click to option","Provide better details on where to click"
"groundtruth_high","All accurate","N/A","This screen shows information about the event."
"groundtruth_high","Everything","Nothing","No change needed"
"groundtruth_high","The description of the screen is correct.","None","I would add more detail to the description."
"groundtruth_high","The description  is very accurate.","The description is accurate.","The description could mention how to search. It could also mention the keyboard and back arrows."
