"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"im2txt_high","A map is displayed.","With the description in a foreign language, I have to guess this screen give audio about a location.","Descibe the screen in English and have a search function that is obvious."
"im2txt_high","None","It does have a place to put phone number","Change the field to reflect what is on the screen"
"im2txt_high","That you can select things.","That you can choose a country","By having it correctly state what you can choose on this screen."
"im2txt_high","Nothing. The description has nothing to do with what's going on here.","Everything. None of the information in the description matches the screen.","By accurately discussing that this screen allows the user to adjust the brightness of the screen."
"im2txt_high","nothing","the main content is wrong it is not login app it is app for checking temperature","allows user (to check room temperature)"
"im2txt_high","the screen behind the pop up Feedback window does allow the user to set the date","The screen shows a popup window for the user to provide feedback","it could mention the pop up feedback window"
"im2txt_high","Only accurate description for settings would be the quick browsing filters","Doesn't show the option settings","Maybe the page should say settings so the user knows that is the settings page."
"im2txt_high","No aspect of this description is accurate","That users log in on this page","Clarify that this page appears to be a STEP in the log-in process; there are two text selections for disclaimer and privacy policy with ""agree' checkboxes below each that users must select to continue; that the site appears to be hosted by the Diabetes:M application"
"im2txt_high","The only accurate part is the screen allows the user","It is not accurate of what the function does. It begins a new order not search for a location.","It can be improved by saying the screen allows the user to begin a new order."
"im2txt_high","The description states that the screen provides the user with information. That's true.","The description is incomplete. We don't know what information is being provided -- unless we look at the screen.","Complete the sentence, describing clearly what information the screen provides."
"im2txt_high","Yes, it is a login page!","I think it is correct","It looks okay!"
"im2txt_high","Well technically it's accurate, but the description is too vague. Yes this screen allows you to do something with the app.","The description does not say that this screen is for adjusting parental controls for some kind of TV app.","Describe what this screen is specifically for."
"im2txt_high","The description states that it may let the user choose a picture. I think they mean that they can choose a background or homepage icon, which could be semi-accurate.","There is no prompt to show how the user can change the picture. In fact, it shows a charge screen, so the user really may have to make the connection that they have the option to customize their screen.","The description should say exactly what the picture is trying to portray- that on your charge screen, you can customize and choose your photo. The screenshot doesn't really stand alone without the description, but the description is so vague that it may be hard to put two and two together."
"im2txt_high","Nothing","allows the user to sign in","Use the correct description"
"im2txt_high","The screen does show that I can sign up","it's not clear if what I am signing up for is in fact the app, or just general notifications","What am I signing up for? What info will I need to provide?"
"im2txt_high","The description is incomplete, so it is hard to tell what is accurate.","The description is incomplete, so it is hard to tell what is accurate.","By having a complete description."
"im2txt_high","There is something to select","The sentence doesn't include what to select","Be specific"
"im2txt_high","Nothing","The screen does not allow for a search or anything nearby.","It can state what is on the screen."
"im2txt_high","none","there's no login, only locator","provide where to click to log in"
"im2txt_high","All accurate","N/A","This is the login screen."
"im2txt_high","I would assume the description is accurate despite the warning message","No mention of the Can't Connect message","Details on the error would help"
"im2txt_high","The screen shows a map.","It's unclear if the app actually gives directions.","I would focus more on the air travel implications of the app."
"im2txt_high","You can enter your email.","The description is 100% accurate.","It is very good as is."
"im2txt_high","None","""the screen allows the user to set the date"", this is a log in screen not a screen to set the date.","""The screen allows the user to log in to their ProtonMail account"""
"im2txt_high","none","the sentence is incomplete","The sentence is incomplete so it is unclear what is trying to be said"
"im2txt_high","The screen allows the user to search.","The search is not for a location.","The user could be told they will be searching GameStop."
"im2txt_high","none","all","The screen allows the user to update their profile or notifications."
"im2txt_high","There are no accurate descriptions.","Everything - this description is totally wrong.","This screen shows an alert message to the user about the app's functionality."
"im2txt_high","The screen does give you a list of options to choose.","None.","Just add that it gives you the option to choose which country you are in. Also, it does not state anything about the upgrade button at the bottom."
"im2txt_high","You can select stuff in the spreadsheet.","It doesn't specify what you can select.","Describe what users can select in it."
"im2txt_high","It is a screen","Not a video","Adobe photoshop Lightroom program introduction."
"im2txt_high","this is a settings page of some application","None.","Could be a bit more descriptive of type of application."
"im2txt_high","Only the part of the description that the screen allows the user to do something.  Nothing more.","The part of the description that states this is where the user can read the terms of service is completely wrong and inaccurate.","Either adjust the description to actually match the screen being presented, or provide more detail on how the user can read the terms of service from this screen."
"im2txt_high","There is nothing about this description that is accurate.","It is not accurate how the description claims the user can enter their phone number here.","It needs to say that a window pops up asking the user if they are sure they want to import."
"im2txt_high","THAT IT ALLOWS THE PLAYER TO PLAY A GAME","NONE","IF IT SAID THERE IS A BUTTON ON THE SCREEN THAT ALLOWS THE PLAYER TO START THE GAME"
"im2txt_high","None, there is no option to view Terms of Service","All of it, there is no option to view Terms of Service","Say what the screen actually is, instead of saying there is an option to view Terms of Service."
"im2txt_high","I suppose you can select something.","Nothing","It could describe the options you can select."
"im2txt_high","Appears to be pretty simple instructions on how to download the App.  Simply need to follow the onscreen instructions to download it to your device.","User doesn't actually see a specific button or link to download the App.","Maybe word it a little differently, such as, ""Provide requested information to download the App."""
"im2txt_high","N/A","its not for a location","put its for music"
"im2txt_high","All aspects are","None that I can see","It should have a logo of the website you are logging into"
"im2txt_high","This is in fact a log in page.","None.","Nothing."
"im2txt_high","nothing","definitely not a place to sign up for anything.","change description from sign up, and add ""a decoder""."
"im2txt_high","there is a photo on the screen","it does not address the dialog box over the image","mention the dialog box"
"im2txt_high","its a vague statement, so not accurate","again its vague, it just tells you that its a thing","finishing the sentence with what this is"
"im2txt_high","None. The screenshot does not show an image editor.","All. The screenshot shows a business managing app which is not reflected in the description.","Rewrite a totally new description reflecting the content of the screenshot."
"im2txt_high","Nothing about the description is accurate.","This screen has a title of recommended apps and says nothing about allowing the user to access the menu.","The description should say that this screen lists their recommended apps."
"im2txt_high","The screen does provide a privacy policy.","None.","It could mention the location on the page there is a Privacy policy as well as any other legal stuff like Terms of Use, contact info, etc."
