"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"im2txt_combined","There is an arrow in the top left corner that will allow returning to the previous page.","The description is accurate.","To mention that the back option is to return to the previous page."
"im2txt_combined","There appears to be three bars which would be a menu link","It is accurate","No improvement needed"
"im2txt_combined","Nothing about this is accurated.","There is no field to insert your email address.","They could accurately describe the app."
"im2txt_combined","Nothing. The description has nothing to do with what the screen actually does.","Everything. There is no such button, and this screen is to open the device's location settings.","By being accurate and describing what it actually does."
"im2txt_combined","nothing","no back button","the button at the bottom left clear all checked items"
"im2txt_combined","There is a window in the center","The window allows the user to choose a brightness option","It could say ""A window in the center of the screen prompts the user to choose a brightness option"" which would be accurate."
"im2txt_combined","no","Nowhere I see enter email address only temperatures listed, check room temperature, check APP, more APP and share","Page should state enter email address to users"
"im2txt_combined","That the upper left hand corner has a three-bar button that leads to a menu","Nothing is inaccurate","Include that the main functionality of the page is a detailed auto search that allows the input of zipcode, price, make, model, etc. That there are buttons lower on the page that allow users to do different functions like see cheapest cars listed, list their own car, see quick filters."
"im2txt_combined","In the center of the screen it does gives you a text box can put in your email address.","It does not say that it is underneath the first text box where you put your feed back.","It can be improved by saying exactly where the email address goes rather than in the middle. I had to look for a second to know where it was."
"im2txt_combined","It's true that there is a button (in fact -- two!) at the bottom of the screen.","One of the buttons points to ""Home,"" the other to ""Cart."" Those suggest navigation away from the current screen -- I think. But it's not clear that the button(s) allow the user to exit the screen. Does ""exit the screen"" mean leaving the ordering function?","Make it clear which button exits the current screen. Specifically, make it clear what selecting either button (Home or Cart) will do."
"im2txt_combined","It is not accurate.","There is no text box for the user to enter their email address. This is a page to agree to certain policies.","""There are two buttons in the middle of the page. One is to agree to the disclaimer and one is to agree to the privacy policy. The user must agree to both before...."""
"im2txt_combined","There is something at the top left corner of the screen.","It's not a link button. I think it's the article title.","What looks like a link is at the top RIGHT corner of the screen. Did they mean that? Also describe what the link does."
"im2txt_combined","I am not sure if anything in the description is entirely accurate because the picture clearly does NOT show a link button at the top of the screen, which may be very unhelpful for users.","There is no link at the top left corner of the page, which may be very confusing. I also do not see a menu in the given page, which calls for an inaccurate description.","The description could demonstrate how exactly to use the slider to adjust the parental controls (e.x. use your mouse, curser, or remote and pick the rating level for each of the following types of content)."
"im2txt_combined","There is a text field for email","Nothing","Change description by removing unnecessary words"
"im2txt_combined","There is a button at the bottom of the screen","None of the buttons refer to anything remotely related to signing in","Describe what is actually on the screen"
"im2txt_combined","There is a start button at the end of the screen.","I can't tell if the start button is for starting a new account or not.","By having it state on the screen that it is for starting a new account."
"im2txt_combined","There is a button on the left","I'm not sure the button is the menu","Be more specific"
"im2txt_combined","Nothing","There is no menu button.","The description could include what is on the screen."
"im2txt_combined","There's three options which any of them will exit screen","i think it will come back to the screen after further selection","provide details on exactly what will happen after exiting screen"
"im2txt_combined","The description is entirely inaccurate.","The top left corner of the screenshot does not show a link button, but a white arrow instead.","In the top left corner, there is a white arrow above the language settings."
"im2txt_combined","The location of the button","Nothing. It is accurate","Could tell the user which screen the back button will take them to."
"im2txt_combined","It is completely accurate.","None","I would add more detail about the popup."
"im2txt_combined","The description seems to be accurate but the screenshot is not in English.","The description seems accurate but I can not read the words on the screenshot.","The description could include a translation."
"im2txt_combined","""in the top right hand corner there is a button that the user can click""","The description is incomplete.","""In the top right hand corner there is a button that the user can click to take them to the available search filters."""
"im2txt_combined","It says what the picture is of.","None","None"
"im2txt_combined","There is something, though not a button, in the top right hand corner.","There is no button and we do not know what ""take them"" means.","It could clarify what the image will do for the user."
"im2txt_combined","""in the center of the screen is a text field where the user inputs their""","it says they input their first name. They actually input their user name.","change first name to user name"
"im2txt_combined","Nothing - there are no accurate parts of the description.","Everything. The description is totally wrong.","""This screen allows a user to modify their profile in an app."""
"im2txt_combined","There is a link button.","It is all accurate.","Add that this is a page to search for the links."
"im2txt_combined","Nothing's accurate.","It doesn't talk about the text in the middle.","Describe what the text in the middle is for."
"im2txt_combined","There is something top left...","Everything else.","Police scanner phone app."
"im2txt_combined","in the top left hand corner there is a button that the user can click to go back","None.","This is a spreadsheet of a breakdown of travel expenses."
"im2txt_combined","It would appear that no part of the description is accurate in relation to the screenshot.  Even if the logo in the center of the screen exits the application, there is no way to identify that is the case from the screen.  The description is either wrong or the application interface is poorly designed.","Specifically, the part about a button in the center of the screen.  From my impression, there is no button, but instead a logo of the software application that I doubt has anything to do with exiting the application.","Change it from describing a button that does something to describing a logo that does nothing.  Or, change interface to help the user understand that this is the case without needing to read a description.  Make it intuitive."
"im2txt_combined","Everything about this description is accurate- there is in fact a button at the top left hand corner that the user can click to go back.","There is nothing inaccurate about this description.","It could not be improved."
"im2txt_combined","THAT THERE IS A LINK BUTTON ON THE TOP LEFT","NONE","BY DESCRIBING WHAT THE LINK BUTTON LOOKS LIKE, SUCH AS A CARROT OR TRIANGLE"
"im2txt_combined","There is a button that lets the user exit the screen, but that's not the buttons main functionality.  Exiting the screen is a side effect.","This screenshot shows a potentially dangerous action - importing data.  The description makes no mention of it.","Mention the Yes/No choice for importing data."
"im2txt_combined","Nothing","There is no button at the top left","mention the game, or any of the middle buttons."
"im2txt_combined","There are choices in the middle of the screen.","No area on this screen with a text field, or a place to enter your name.","Explain which button to press, and relate it to what the user can do with pressing the button."
"im2txt_combined","none","there is no spot for your email","put what its for"
"im2txt_combined","I don't think there are any aspects that are accurate because it says ""Bible"" but the music playing isn't about the bible or religious.","The same as above.","It should reference something like emotions or classical music, those would be more accurate."
"im2txt_combined","There is an scrolling list for countries in the middle of the screen.","It doesn't describe the second scrolling list.","Describe the second list and language."
"im2txt_combined","top left corner","not for the back button","change description for email entry."
"im2txt_combined","nothing, its completely wrong","the whole thing. there is nothing pertaining to that description in the screenshot","actually be relevant to the screenshot"
"im2txt_combined","This is a login screen and the sentence describes that","its accurate","its pretty good as is"
"im2txt_combined","None. The screenshot is not about a name input.","All. The screenshot is a description of what the app does, which is not mentioned in the description.","Rewrite the description to reflect the screenshot."
"im2txt_combined","There are images/icons on the screen.","The images don't appear to be in the enter of the screen, but towards the top.  They also don't appear that they would be scrolling.","It could say that there are images underneath the login buttons and tell what they do.  It should also not say that they are scrolling unless they do and you just can't tell by this screenshot."
"im2txt_combined","There is no menu icon, but there is a bar with an icon.","Thee is no menu icon at the top, just a green colored bar and a small icon.","Write the following: Tap the white icon in the top left of the screen to open the menu."""
"im2txt_combined","None.","There is no link button in the top left corner.","I would describe the screenshot in the following way:This screenshot displays the terms and conditions of a GPS registration."
"im2txt_combined","It points out that the field is for typing in your user name.","It does not point out that you can also create a new username if you don't already have one.","Get rid of the word inputs.  Use the word ""enters"".  This word is one people are more familiar with."
"im2txt_combined","Nothing is accurate","The description is wrong - there is no search icon in the top right corner","Discuss how the page shows information for a ride."
"im2txt_combined","none","there is no scrolling list of countries","On the screen there is a pop up message asking you to share the app with your friends."
"im2txt_combined","in the middle of the screen there is a button","user exit the screen","nothing"
"im2txt_combined","Nothing about the description is accurate. The entire description is inaccurate as a whole.","The center of the screen has no text field at all, so the entire description is invalid.","The description should point to the options at the bottom of the screen rather than saying the center of it."
"im2txt_combined","That you can add your email address.","You need to add more information about joining a meeting and adding your ID"".","Let people know that they will need to add their ID # etc."
"im2txt_combined","All of it","None of it","N/a"
"im2txt_combined","There is a button","There is not button to ""proceed""","There is a button to play the song"
"im2txt_combined","there is a back button in the top left hand corner, not a link button.,","no link button","change back button for link button"
"im2txt_combined","It is scrolling list, but countries","The pop-up is scrolling list of hours and minutes of a clock not a list of countries","State ist is a rolling list of time"
"im2txt_combined","There is a button on the top left","It isn't clear that it's a ""link"" button.","The meaning of ""link"" could be clarified."
"im2txt_combined","none","I see no buttons in the middle","all of it is incorrect."
"im2txt_combined","There is a pop-up box in the middle of the screen.","It is completely accurate.","Be more specific to what type of message to look for"
"im2txt_combined","the description and the image have nothing in common","none of the description appears to relate to the image shown","have someone redo the description"
"im2txt_combined","In the middle of screen there are buttons","I wouldn't call these scrolling buttons its a rating page and product selection","Discuss the rating buttons and products separately"
"im2txt_combined","none","there is no text box in the center of the screen","mention text box for notes"
"im2txt_combined","where the button is","button is to scan iteams","have anyone with a brian write the description its soo far off!"
"im2txt_combined","There is a button in the top left","Ive no idea what this description means","Enter a description that is relevant and accurate"
"im2txt_combined","It does have a button in the corner","It is not the link button, it is the back button","complete description the actual button"
"im2txt_combined","-","""in the middle of the screen there is a button that lets the user exit the screen""","accuracy.mention that the screen is a page for messaging..."
"im2txt_combined","The fact that there is a button to go back","it is all accurate","explain that this screenshot is showing settings"
