"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"seq2seq_high","The screen has a view.","There is no information of what the view is.","To finish the description of what the view is about."
"seq2seq_high","It does seem to have a connection to the screen, but it is not complete","It is confusing about what you would do to","The description would add more directions"
"seq2seq_high","that this is a screen where the view can view...something.","It doesn't list what the individual can view.","They could finish their description."
"seq2seq_high","It does allow the user to view something.","It doesn't explain what the user can do.","By completing the sentence and including the actual information as to what this screen does."
"seq2seq_high","user to view is correct","missed the accounts part","allows user to view the accounts dashboard"
"seq2seq_high","The description provided does not describe anything about what is on screen.","The description appears to be cut off without any relevant information at all","It could actually describe something about what's on screen"
"seq2seq_high","mostly except need more description","only dates listed and no full description of event","Wish certain symbols or buttons with text listed to click on to view an event with more details"
"seq2seq_high","None are accurate","The description is incomplete therefore inaccurate in its entirety","Stating that this is a menu that allows users to clear different types of data / is a data submenu. Options include clearing data, bookmarks, etc. Explain that it is a checkbox system that allows multiple selections (or doesn't)"
"seq2seq_high","It is accurate that the screen allows the user to view. It is unclear to what though.","It is not accurate because it doesn't tell you what you are viewing.","The description can be improved by saying that this screen allows the user to turn on your location."
"seq2seq_high","The partial sentence ""screen allows the user to view a"" makes no sense. It is not at all accurate.","Because of the partial sentence, we don't know what the description states. It's inaccurate because it does not provide complete information.","Finish the sentence! What will the screen allow the user to view?"
"seq2seq_high","It does look like the site for the viewer to see the room temperature.","The description did not include what the user was actually seeing.","""This screen allows the user to see the current room temperature"""
"seq2seq_high","Very little as it describes almost nothing.","Technically it's accurate. It's just way too vague to be useful.","Actually describe what this screen does."
"seq2seq_high","The screen DOES allow the user to view something. However, it doesn't finish the sentence, so I'm not sure what it was getting at.","The sentence is not complete, so readers likely will have a lot of confusion.","The sentence could be finished, first of all. Second, it should state something like ""the screen allows the viewer to to begin a new order"" or something along those lines. This way, the readers will know exactly how to start a new order with the restaurant."
"seq2seq_high","It allows the user to view something","Nothing","Add what is being viewed such as available cars"
"seq2seq_high","I suppose the screen does allow me to view something","It does not specify what I am being allowed to view","It could tell me what it is that I am viewing"
"seq2seq_high","The description is incomplete, so I don't know how much is actually accurate.","The description is incomplete, so I don't know how much is actually accurate.","This description can be improved by being complete."
"seq2seq_high","The text is cut off","The fact that the text is cut","Finish and make a complete sentence"
"seq2seq_high","Nothing.","The description is incomplete and does not state anything.","It can be more descriptive."
"seq2seq_high","None","not complete","Provide better details on the features, not complete"
"seq2seq_high","Accurate, but lengthy","N/A","The screen shows [...]"
