"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"neuraltalk_combined","There is no back button. The description is inaccurate.","There is no back button.","To add a back button to the top left corner."
"neuraltalk_combined","None, there is no back button","There is no back button","Do not say there is a back button"
"neuraltalk_combined","There is a section in the middle of the screen where the user can insert their email address.","Nothing is inaccurate about this description.","They could describe the whole app and not just the email box."
"neuraltalk_combined","Nothing. There is no such box on this screenshot, and the functionality is entirely different.","All of it. This screenshot is of how to adjust the parental permissions, no email address entry is here.","By including the correct information as to what this screenshot is for."
"neuraltalk_combined","nothing","the email field part","start button will turn the battery optimizer on."
"neuraltalk_combined","nothing is correct","there is no email field","the screen shows battery charging percentage, depicted by a green circle"
"neuraltalk_combined","nothing isn't accurate","There's no text field to enter name only shows different stated years of a car to find correct auto parts","The page should state in the center of the screen is a text field where the user inputs their name only the year."
"neuraltalk_combined","There is a back button in the top left of the screen","It is not the main or entire functionality of the screenshot","Include that the main functionality is a single-check menu for users to select language from English, Spanish, Dutch, French, and Italian"
"neuraltalk_combined","It is accurate that you can click on the center but I think it is after you click on the center is when you can put in your email.","It doesn't say this is where you put your email or give you a place to type it in.","It can be improved by saying, Click on the registration button in the middle of the page to enter your email address."
"neuraltalk_combined","Nothing except for the fact that there is something in the center of the screen.","What's in the center of the screen has nothing to do with inputting an email address.","The description should state that the screen allows the user to add a contact from three different sources."
"neuraltalk_combined","Yes, it is a text box where the user can enter their email address","It all looks accurate","Nothing can be improved"
"neuraltalk_combined","There is something in the center of the screen.","It has nothing to do with inputting an email address.","Scrap it and rewrite it."
"neuraltalk_combined","The screenshot clearly shows an ""X"" on the top right of the screen, which is where the user can exit the screen, which is somewhat accurate and reflective of what the screenshot is trying to show.","The description says that the button is in the middle of the phone. Clearly, it isn't. It's in the top right of the screen, so if someone were reading this description, they may have a lot of trouble finding the ""x"" just as I did.","""Middle of the screen"" could be altered to ""top right of the screen with the ""X"""". Other than this, I think it is a fairly accurate description."
"neuraltalk_combined","Nothing","text field for email address","Use the correct description and remove unnecessary words."
"neuraltalk_combined","Nothing about it is accurate","I see no where that I can enter my email","It could describe anything that IS actually happening on screen"
"neuraltalk_combined","No aspects are accurate.","There is no text field to input an address.","By having a text field that would allow the user to input an address."
"neuraltalk_combined","There is a center","There is no input of text","Talk about the brightness options"
"neuraltalk_combined","Nothing.","There is not button.","The description could indicated what is on the top, left in one word."
"neuraltalk_combined","entering email","that it is optional","specify optional"
"neuraltalk_combined","N/A","Entirely inaccurate.","In the center of the screen, there are for options for the user to choose from."
"neuraltalk_combined","Everything seems inaccurate","No field for email. Seems to be referring to a different screen","Everything needs to be changed. The details should mention the GUI equializer at least."
"neuraltalk_combined","None","There is not a button to close and its not in the middle of the screen.","I would redo this entire description as it's not accurate."
"neuraltalk_combined","There is nothing about this description that matches the screenshot.","There is no back button in the top left.","It needs to match the screenshot."
"neuraltalk_combined","There is an exit ""cancel"" button.","The ""cancel"" button is not located at the center of the screen.","""At the top right of the screen there is a cancel button that lets the user exit the screen"""
"neuraltalk_combined","There is an arrow in the top left","none","It says nothing about the app itself which appears to be an ereader, and the screen shot is a description of how to use that.  The arrow in the corner is not the focus."
"neuraltalk_combined","None.","There is no button in the top left hand corner.","The user should be told about the Play button and the 4 icons beneath it."
"neuraltalk_combined","none","all","in the center of the screen is a message box confirming importing of files."
"neuraltalk_combined","Nothing - there are no accurate parts of the description.","Everything. The description is totally wrong.","This screen shows a user a list of tools that can be used to control/modify an Android phone."""
"neuraltalk_combined","There is a back arrow to return to the previous screen.","It looks like this screen has many other options.","Include the added function(s) of this screen."
"neuraltalk_combined","There is a button in the top left.","It's all acurrate.","It could specify which button in the top left it is."
"neuraltalk_combined","There is a spot to enter email","It's not in the middle.","Email address login page."
"neuraltalk_combined","None.","in the center of the screen is a text field where the user inputs their email address","This is a screen where the user can edit their search preferences."
"neuraltalk_combined","It is only very vaguely accurate.  There is a top left of the screen, there is a button in that location, and it allows the user to do something.","The button does not appear to be of the type that allows the user to move back a screen.  Instead it appears this button opens a menu for the application.  In this way, the description is inaccurate.","Change the description from describing a back button in this location to a menu button."
"neuraltalk_combined","It is true that the center of the screen has something but it is not a text field.","The center of the screen does not have a text field and it does not ask for your email address.","The description needs to say that a window is in the center of the screen that says it can't connect to the server."
"neuraltalk_combined","ALL OF THEM","NONE","NONE"
"neuraltalk_combined","There is back button in the top left of the screen which presumably will go back to the previous screen.","As long as that button really does return to the previous screen, there is nothing that is not accurate.","As long as the button does return to the previous screen, the description is accurate and can not be improved."
"neuraltalk_combined","The entire description is accurate.","Nothing","I don't know that it can"
"neuraltalk_combined","There are things in the middle of the screen that can be opened, which may lead to what the description is stating.","No apparent ""text field"" in the center of the screen, as the description states.","Better instructions should be provided in regards to how to get to the area where inputting an e-mail address would be available."
"neuraltalk_combined","It has a place for your email","it also has a spot for your password","password"
"neuraltalk_combined","It is accurate to say that this is a Settings menue","I don't believe there are any","It could read ""Event Settings"""
"neuraltalk_combined","I don't see a back button.","It does not describe the screenshot.","It's possible there's a back button, but most of the screenshot is taken up by a terms and conditions agreement."
"neuraltalk_combined","back page option.","none","n/a"
"neuraltalk_combined","nothing, there is no location for an email address to be input","there is no text for to input email","actually have the correct form displayed"
"neuraltalk_combined","You can probably use your email as the username to log in","it is accurate","stating that you can use a username or email, or that your username is your email, depending on the site"
"neuraltalk_combined","There is a button in the top left to return to the last screen.","None. Totally accurate.","Best possible description, I think."
"neuraltalk_combined","There is nothing accurate about the description.","There is no text field to enter the person's email address.","The description could be changed to say that in the middle of the screen you are given the option to tell your friends about the app."
"neuraltalk_combined","I do not see an exit button or an X near the top right to leave the page or exit the dialog box.","I don't see a way to exit the screen.","It could mention that the user must tap a X in the top corner or scroll down to exit."
"neuraltalk_combined","There is a back, or rather a 'last', button on the page.","This back button is not at the top of the screen, but rather to the bottom left.","I would describe the screenshot in the following way:This screenshot displays multiple abbreviations and their descriptions, as well as a variety of option buttons at the bottom of the screen."
"neuraltalk_combined","There isn't anything accurate about this description.","There is no back button anywhere on the screen let alone the upper left hand corner.","It should be rewritten to say ""this screen allows you to choose a country and city""."
"neuraltalk_combined","There is a form field in the middle of the screen","The form field does not have a label on it -- while it is likely for an email, it could also be for a user name.","Describe which form field -- the top or the bottom?"
"neuraltalk_combined","in the center of the screen","there is no text field to input your email","in the center of the screen there is a pop up message telling about the fonts in the application."
"neuraltalk_combined","nothing","in the top left there is a back button to return the user to the previous screen","this screen allows the user to sign into the app"
"neuraltalk_combined","That there is a button in the top left corner that takes the user to the previous page.","Nothing. The entire description is correct.","I think if the word ""button"" was changed to ""arrow"", it would be a better description."
"neuraltalk_combined","Everything, very clear.","nothing.","Nothing clear & concise."
"neuraltalk_combined","There is an email address in the screenshot","There is no text field to input an email address","In the center of the screen is a business card"
"neuraltalk_combined","Nothing is accurate","There is no textfield.","Changing the description. A popup window gives info and the user needs to click on ""ok"" to proceed."
"neuraltalk_combined","nothing, the screen is loading in the picture.","all of the statement","wait until the screen loads before doing screenshot."
"neuraltalk_combined","None","There is no email input on this screen","Description should state that the rating is input on the screen"
"neuraltalk_combined","There is a button as described.","none","it could include rest of page."
"neuraltalk_combined","it does have a place to input your email","none","In the middle of the screen, there are three fields for input: online meeting id; your name; and your email."
"neuraltalk_combined","None.","There is no button to go back to the previous screen.","Get a button that follows the description."
"neuraltalk_combined","the description is describing something else entirely","all of it is inaccurate","get someone to redo this one"
"neuraltalk_combined","all aspects","none","describe the back button as an arrow"
"neuraltalk_combined","none","there is no text box in the center of the screen","mention pop-up for user to set countdown timer"
"neuraltalk_combined","its does return you to the previous screen","na","put the button with a back arrow"
"neuraltalk_combined","It is a field you enter","You dont enter your email","Change it to entering the promo code"
"neuraltalk_combined","It has a field in the middle","Do not see a text field in the middle","Show the cursor for texts or email to be placed"
"neuraltalk_combined","-","""in the top left there is a back button to return the user to the previous screen.""","accuracy. mention that the screen has emoji keyboard shortcuts..."
"neuraltalk_combined","Nothing","The button does not exist","Explain this is a news app with a list of stories"
"neuraltalk_combined","Nothing","there is nowhere on the screen to enter an email","explain that the screen is for scanning barcodes"
"neuraltalk_combined","There is nothing accurate about this description.","There is no button in the top left corner of this page.","Correct the description to accurately reflect the content of this page, which currently does not have a back button."
"neuraltalk_combined","All aspects are accurate.","No aspects are inaccurate.","No improvements are needed."
"neuraltalk_combined","All of it, the description tells us what the button does.","None of it. The user provided a good description.","No improvements can be made. The rest of the screen can be described."
"neuraltalk_combined","Everything","None","None"
"neuraltalk_combined","it is entirely accurate","no part of the description is inaccurate","it could specify that the previous screen is ""settings"""
"neuraltalk_combined","Nothing, the description is completely incorrect","Everything","Describe what's in the picture"
"neuraltalk_combined","Nothing is accurate.","There is no email entry field.","It should say ""In the center of the screen, there is a button to continue the purchase of the app."""
"neuraltalk_combined","The talk about the center of the screen.","Everything after mentioning the center of the screen.","indicate that the screen is about making a recording and not entering text."
"neuraltalk_combined","It's exactly correct","none","it couldn't"
"neuraltalk_combined","none","There is nowhere to enter your email on the page.","This seems to be a health or fitness app."
