"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"neuraltalk_low","There is nothing accurate about the description.","The screen only shows how to adjust parental controls.","Remove everything on this screen and insert a text field where the user inputs their email address."
"neuraltalk_low","The description does no match the picture","There is no place to put an email address","The description should be deleted or changed to a more correct one"
"neuraltalk_low","Nothing is accurate about this description","There is no spot to enter your email address in the middle of the screen","It could describe the app that I am looking at."
"neuraltalk_low","That the user can input their email address here.","That it's necessary to click on the Open or Register Here button to do so.","By expanding on the process necessary - that the user must click here, then input their email address plus other information."
"neuraltalk_low","at the top","back button part","at the drop there is drop down button to give menu"
"neuraltalk_low","there is something in the center of the screen","there is no field for an email address","it could say that the pop up window allows user to add a contact"
"neuraltalk_low","To start, enter your email","everything is accurate as to entering one's email address to start at the welcome page","only change is say to login type in your email address"
"neuraltalk_low","None","There is NOT a button for the user to exit in the top left corner.","List that it is a preview screen for app features of what appears to be some kind of banking app; multiple features are revealed by scrolling; no buttons to advance"
"neuraltalk_low","there is nothing accurate about this disruption besides the statement ""in the center of the screen"".","There is no where to put an email address or a text field.","It can be improved by actually describing what to do. Like, "" In the top left corner, in the text field type your location""."
"neuraltalk_low","There appears to be a ""button"" in the top left of the screen, either the hamburger icon or the logo. But the user would have to intuit that those are buttons.","Nothing explicitly looks like a button, and certainly not a ""back"" button.","Describe what the screen is, which is a map that appears to be linked to weather information in Spanish."
"neuraltalk_low","It is a back button, so that is okay. But it is sort of small. It might help to make it larger?","It is correct.","Do you really need to use the word ""user""? Could it just read, ""Use the back button in the upper left to return to the previous page""?"
"neuraltalk_low","Nothing. This description does not match the image. There is a prompt in the center of the screen but it's asking the user to turn on location settings.","The entire description, minus that there is something in the center of the screen.","Actually look at the image and read it before describing it."
"neuraltalk_low","There is nothing accurate about the description.","The screenshot clearly states how to change the brightness of the phone. There is no place to input an email address. If I were reading the description as a user, I would be very confused.","The description could discuss how to change the brightness of the phone. It could state that their are different levels of brightness and that the user can select one according to the time of day, how bright the sun is, etc."
"neuraltalk_low","there is a list on the screen","the list is not of images","use the correct description"
"neuraltalk_low","There is a button on the upper left","It's not a back button, it's a menu button","Accurately describe the button and what it does"
"neuraltalk_low","There is no back button in the top left hand corner.","All aspects are not accurate.","By having a back button in the top left hand corner."
"neuraltalk_low","none","All of it","There is no button in the top left. There is a button in the top right."
"neuraltalk_low","Nothing","The screen does not have an email prompt.","It can describe of the features that are obvious."
"neuraltalk_low","None.","Tthere is no back button","Description is not accurate."
"neuraltalk_low","N/A","All inaccurate","There is an Agree button in the center of the screen."
"neuraltalk_low","Eveything","Nothing","No change needed"
"neuraltalk_low","None","There is no e-mail field.","I would change the focus of the description to something that actually exists in the image like the Yes/No question."
"neuraltalk_low","There is a screen shot but it does not match the description.","There is not text box. to enter their email.","The description does not match at all. It needs to be changed."
"neuraltalk_low","None","There is no back button on this screen.","This screen allows users to access different phone settings."
"neuraltalk_low","none","There are not any scrolling images on the screen","The accuracy needs to be improved to what is actually on the screen"
"neuraltalk_low","There is a place for the user to input their email address.","The text field is not in the center of the screen.","The location of the text field can be described correctly."
"neuraltalk_low","all","none","I would say ""near the top"" instead of ""in the top"" since it is not all the way at the top."
"neuraltalk_low","The description is right in that there is indeed a back button in the left corner.","The back button is a minor feature in the overall purpose of this screen.","This screen gives a user the option to choose a category of matches in a dating app."
"neuraltalk_low","Return to the previous screen.","I don't see a back button visible, is it under the person icon or is it the down arrow?","Tell which button allows you to return to the previous screen, is it the down arrow? Also, this is a sign in page should be added."
"neuraltalk_low","It doesn't show an email address.","There is a text field in the middle.","Describe what the text field is there for."
"neuraltalk_low","There is something in the middle of the screen","That may or may not be an email field, it's in another language.","Foreign login screen."
"neuraltalk_low","In the top left there is a back button.","None.","This is a map search result showing location and address of an airport."
"neuraltalk_low","This description is perfectly accurate.  Directly in the center of the screen is a dialog that clearly accepts the user's email address.","There is nothing about this description that is inaccurate.","Just grammar and proper English here.  Make the description more professionally presentable."
"neuraltalk_low","It is accurate that there is a text field that asks for a username, which could potentially mean your email address.","It technically asks for Username, not Email, but it technically could mean email.","It could be more improved by being more specific about the text field asking for a Username."
"neuraltalk_low","NONE","ALL OF THEM","ON THE SCREEN ARE THE SETTING FOR THE USER TO CHOOSE FROM"
"neuraltalk_low","There is a link at the top left of the screen.","The link is a menu link, and not a link to return to the previous screen, as the description states.","Say that the link is a menu and describe the contents of that menu."
"neuraltalk_low","There is a back button at the top","Nothing","It could describe the search field which is also at the top."
"neuraltalk_low","The top left does have the house icon, which is pretty universal for returning to the home page.","Description does not state to press on the house to return to homepage, but rather, states there's a back button to go to previous page.  User is looking for a back arrow button, when a house is there instead.","Change description to tell user to press the house to return to homepage."
"neuraltalk_low","N/A","There is not a text screen to enter your email","the screen in the middle is to let you know you can not edit the headphones"
"neuraltalk_low","All aspects accurate","None","it could read ""on"" instead of ""in"""
"neuraltalk_low","There is a back button on the top left corner of the screen.","Nothing.","It could describe the map."
"neuraltalk_low","none","everything, because the description says there is a place in the center of the screen for entering an email, but there is not that on the screenshot.","change the description from ""a place to enter an email"" to ""the logo of the project."
"neuraltalk_low","there is a button to go back","it does not address any of the major content on the page","reference more of the page's content"
"neuraltalk_low","there probably is a back button","there is no visible back button on the screen","telling the user whether to hit yes or no"
"neuraltalk_low","There is a button at the top left but it seems to be a menu, not a back, button, and may not even be clickable from this window.","The button is NOT a back button, and it may not be strictly clickable from this window.","Change to ""clicking outside the pop-up window will close it"" if that's true, or describe the button as a Menu button if it's clickable."
