"caption_type","What aspects of this description are accurate?","What aspects of this description are NOT accurate?","How could this description be improved?"
"groundtruth_low","There is a feedback button.","The feedback button is in the lower right of a popup screen.","To state that the feedback button is in the lower right of a popup."
"groundtruth_low","There is a back button on the top right","none","No need for improvement"
"groundtruth_low","The top center does have the name of the app","It is completely accurate","By describing what you are finding on the entirety of the screen. Not just the title."
"groundtruth_low","There is indeed a menu bar button in the upper right corner.","Nothing, just not very inclusive of everything else going on this screen.","By adding more detail as to what's going on on this screen."
"groundtruth_low","login to app part","nothing","email field not required. Allows user to login to their app"
"groundtruth_low","there are three circles at the bottom indicating additional pages","Nothing is wrong or inaccurate","it could mention that the user must swipe left to view the next page"
"groundtruth_low","none","above the start icon is a license agreement that the user can select to readisn't shown on the page","Show license agreement for user to select to read instead of battery  optimizer"
"groundtruth_low","The years are listed in descending order","Nothing is inaccurate","Include that it appears to be a selection for a search tool, cite the website that it is on (ace auto parts), describe the colors, describe the text of the years (IE no buttons, just a text selection), can the users select multiple options or not"
"groundtruth_low","There are different tabs at the bottom of the page.","It isn't accurate on the exact location of the bar.","It was hard for me to understand if it was talking about in the app bottom of bottom bar of the phone. It can be improved by saying at the bottom of the phone."
"groundtruth_low","The description accurately describes the fact that a giant picture is found on the screen. However, there is no visual cue on the image that it is clickable. Thus, the description assumes too much.","Because there is no indication that the image is clickable, the description assumes that it is.","I think the description is acceptable if the assumption about the image being clickable is correct. A better course here would be to clearly indicate that the image is clickable. Then the description would be accurate, too."
"groundtruth_low","You can change the language","There is no ""button"". You need to make a block around the words, ""set language"".  And does it actually return you to the previous screen?","Click ""set language"" below to change your choice of language. Or add a button for the words or add a button for 'set language' and add a button for 'return'"
"groundtruth_low","It does describe what is going on reasonably well.","None far as I can tell.","Again, basic grammar check."
"groundtruth_low","The screenshot clearly shows that there is an icon in the middle of the screen, which is what the description says.","I don't think there is anything INACCURATE about the screenshot, as everything the user is trying to say is technically true.","The description isn't proper English, so it was incredibly hard to interpret and understand. Also, I do not think the icon in the center of the screen is the focal point of the photo, so it could say something like, ""users can choose their location at the top left of the screen."""
"groundtruth_low","Can't be left blank","None","Nothing"
"groundtruth_low","There is a menu button in the top left","n/a","it doesn't really go very in depth, a better description would explain more of the app's function"
"groundtruth_low","There are indeed three dots at the top of the screen to indicate that the screen can be swiped from left to right.","There are no aspects of this description that are not accurate.","This description needs know improving."
"groundtruth_low","All of it","NA","It is great as is, maybe use less words"
"groundtruth_low","The event or show is shown.","There is no place to purchase.","The description could have stop after button."
"groundtruth_low","there are brightness options to choose from","there is no ""center row"" and therefore confusing","provide clarity"
"groundtruth_low","option to clear the date in the accounts","top of the left screen - there is only one screen visible","The clear connected accounts option at the top of the screen is available to clear the data in the accounts."
"groundtruth_low","The location of the button","Nothing","NO improvements. Description is simple and accurate"
"groundtruth_low","All aspects are accurate as far as I can tell.","None","I am unsure if I can see the play button or if that's what it is. I would focus on the pop-up."
"groundtruth_low","There is a home button on the top left","The description is accurate","Say what the home button does."
"groundtruth_low","There is an arrow in the top left corner that would indicate you could click it to go back.","None.","By phrasing ""the top left arrow icon allows the user to go backwards"""
"groundtruth_low","There is an LR in the middle of the screen","none","Mention the get started button at the bottom instead of hypothesizing if the LR is a link"
"groundtruth_low","The user can open a specific book.","The description refers to the wrong button.","The user should be told to press the top left button and click ""open book"""
"groundtruth_low","all","none","is great as is"
"groundtruth_low","The description is completely inaccurate, almost gibberish.","Everything. The whole thing is wrong.","""This is an alert box that warns the user about completing an action."""
"groundtruth_low","It does describe the picture on the page.","The illustration has nothing to do with the functionality of the page.","State that this is the page to start playing the game."
"groundtruth_low","The third row from the top is the Autorun Manager.","It's all accurate.","Describe what the autorun manager is."
"groundtruth_low","There are languages to the right","It's correct.","Whatsap Status screen."
"groundtruth_low","There is a magnifying glass in the top corner.","None.","This screen is a playlist of audio files."
"groundtruth_low","This description is perfectly accurate for this screen.  It clearly describes an email entry box at the top of the screen and one is clearly present and identifiable in the screen.","Nothing about this description is inaccurate.  All the information presented appears to align perfectly.","Again, improve the grammar and formulate the description into a proper English sentence.  It looks and reads unprofessional."
"groundtruth_low","It is accurate that the continue button is in fact placed just a little bit away from the top of the screen.","There is nothing inaccurate about the description.","The wording could be improved by saying that the Continue button is close to the top of the screen."
"groundtruth_low","ALL OF THEM","NONE","NONE"
"groundtruth_low","The Welcome Screen of the app is shown in the background","It does not mention the Can't connect to the server message.","Mention the Can't connect to the server message."
"groundtruth_low","Everything","Nothing","Nothing"
"groundtruth_low","Easy to see how to recover your e-mail for your account.","None","No suggestions on how to improve.  It's pretty obvious by the screenshot that you need to enter your e-mail address and press ""Accept"" to move forward."
"groundtruth_low","there is a filter button","N/A","N/A"
"groundtruth_low","""in the center of the screen there is a text field where the user can input their user name""","none","It could say ""and their password."""
"groundtruth_low","Nothing.","There is no button on the right.","Correct description to say that there are no apps shown."
"groundtruth_low","mobile functions and options to select from.","doesn't seem to have a ""scrolling"" option to the page.","remove the scrolling from the description."
"groundtruth_low","absolutely nothing","there is nothing on the screen","have it be relevant to the screenshot"
