semeru-hit-id,image_url1,desc1,image_url2,desc2,image_url3,desc3,image_url4,desc4,image_url5,desc5,image_url6,desc6,image_url7,desc7,image_url8,desc8,image_url9,desc9,image_url10,desc10,image_url11,desc11
"1", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "on the top left corner there is a back option", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "in the center of the screen there is a text field where the user can input their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "in the top left there is a back button to return the user to the previous screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "at the lower left hand corner of the screen there is a button to send the feedback", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the screen allows the user to search for directions", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "the top of the screen there is a button for the user to", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "the screen allows the user to modify the brightness"
"2", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "at the top left corner there is a link button which is the menu link", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "the top of the screen is a button for the user can click", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "in the top left there is a back button to return the user to the previous screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "this screen allows the user to sign into the app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "the screen allows the user to enter their phone number", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "the screen to give feedback on an app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "in the top right is a button that says start over to start the ordering process from the beginning"
"3", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "in the center of the screen there is a text field where the user can input their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "the top of the screen there is a button for the user to select the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "in the middle of the screen there is a button that lets the user exit the screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "on the top tight corner there is a menu bar option", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "the screen allows the user to set a time", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "screen allows user to begin a new order at hungry howies"
"4", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "in the center of the screen is a text field where the user inputs their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "this screen allows the user to sign into the app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "the top of the screen there is a button for the user to", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "the screen allows the user to set the date", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "at the bottom of the screen there is a button that lets the user exit the screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "screen shows some information about living room furniture", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "the bottom of the page has small circles linking to other pages", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "in the center of the screen there is a text field where the user can input their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "in the center of the screen there is a text field where the user can input their email"
"5", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "the screen allows the user to search for a location", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "you can change to different tab by pressing the buttons at the bottom bar", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "screen showing the set parental control page of the app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "at the top left corner there is an arrow link button", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the top of the screen there is a button for the user to"
"6", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "clicking on the giant picture near the center top of the page will allow the user to access the hud grant alerts page", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "the screen provides the user with information about", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "at the bottom of the screen there is a button that lets the user exit the screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "the charging page of a speed booster app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "in the center of the screen there is a text field where the user can input their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "the top of the screen there is a button for the user to", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "in the top left there is a back button to return the user to the previous screen"
"7", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "this screen allows users to open a page to visually see hud grant alerts", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "in the center of the screen there is a text field where the user can input their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "the screen allows the user to the app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "at the bottom of the screen there is a button that lets the user exit the screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "at the top left corner there is a link button", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "the top of the screen there is a button for the user to select the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "in the middle a box shows a few options users can use when blocking a phone number", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "in the center of the screen there is a text field where the user can input their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "screen allows the user to view a"
"8", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "at the top left corner there is a link button which is the menu of that page", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "the screen allows the user to select a picture", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "in the center of the screen there is a scrolling list of images in two columns", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "the screen where users can add numbers to a call blocker list", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "in the middle of the screen there is a button that lets the user exit the screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "the top of the screen there is a button for the user to select the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "in center of the screen locator icon with word is display", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "in the center of the screen is a text field where the user inputs their email address"
"9", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the top left icon allows the user to access the menu screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "screen shows choose location option", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "in the middle of the screen is a popup box with a text box", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "the screen allows the user to sign up for the app", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "in the center of the screen there is a text field where the user can input their email", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "the top of the screen there is a button for the user to", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "in the top left there is a back button to return the user to the previous screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "the screen allows the user to select a country", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "at the bottom of the screen there is a button to sign in"
"10", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.hungerrush.hungryhowies-screens/screenshot_1.png", "in the top left there is a back button to return the user to the previous screen", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.appspot.nycbustracker-screens/screenshot_4.png", "at the bottom of the popup message there is button for open setting a user can open setting by tapping on it", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilaurus.wingstopandroid-screens/screenshot_1.png", "in the center of the screen there is a scrolling list of images", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.zalebox.living.room.decorating.ideas.s1-screens/screenshot_5.png", "the top of the screen there is a button for the user to", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nbcuni.telemundostation.phil-screens/screenshot_2.png", "the screen allows the user to search for weather on the map", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.TWCableTV-screens/screenshot_2.png", "screen allows the user to view a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/mobi.supo.optimizer-screens/screenshot_5.png", "the bottom of the screen there is a button to the", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.kapye.greenlight-screens/screenshot_4.png", "in the center of the screen is a text field where the user inputs their email address", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.grants.hud.app-screens/screenshot_1.png", "at the top left corner there is a link button which is the menu of that page", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.securesoltuion.app.blocksmscall-screens/screenshot_6.png", "the screen allows the user to select a", "http://173.255.245.197:8080/GEMMA-CP/Clarity/com.easymobs.pregnancy-screens/screenshot_5.png", "the screen allows the user to select a country"
