"Filename","High","Low1","Low2","Low3","Low4","Split"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.couchgram.privacycall-screens/screenshot_5.png","this screen is a display of some app lock application","at the top center a label is displayed","the label is displayed as enter a new app lock password","a popup is displayed with a label","the popup is displayed with a link button called ok","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.fresconews.fresco-screens/screenshot_4.png","the screen allows the user to take a photo","the bottom left icon allows the user to click and gain access to the next screen","the center bottom icon allows the user to take a photo","the bottom right icon allows the user to take a video","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.poker.clubs.wallpapers.cute.anime.girl-screens/screenshot_4.png","screen to view the favorite pictures","in the top left hand corner there is a button that the user can click to take them to the previous screen","below the top left corner button favorite user picture is shown","in the bottom left corner there is a button to view the previous picture","in the bottom right corner there is a button to view the next picture","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.nike.snkrs-screens/screenshot_4.png","the screen allows the user to see the sneaker","the top left column allows the user to see the feed","the top center column allows the user to see what is in stock","the top right column allows the user to see upcoming","the bottom left button allows the user to be notified","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.dorkdev.buildingforminecraftpe-screens/screenshot_3.png","screen with name google play store","there is a filter icon on the top left and search button on top right potions","an nearly middle portion the name of app with button to uninstall and open options are given","the other features are shown as buttons below the open button","on the bottom left of the page whats new and fix bug buttons are placed","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.spectrl.rec-screens/screenshot_5.png","screen to setting page of screen recorder application","bottm center of screen there is a button that the user can click to begin record","above the recording button there is a text field where the user inputs their file name","in the center of the screen there are option buttons user can select size bit rate duration","in the top left hand corner there is a button that the user can click to take them to the more setting option","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.spectrl.rec-screens/screenshot_5.png","this screen represent the record audio","at the top of the screen is size is available","after that bit rate is available","below that duration and audio is present","at the bottom of the screen is filename is saved and record","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mjh.chicagobus-screens/screenshot_1.png","chicago bus transport link within an app","to the left there is a menu option to open the transport app","the link is highlighted in blue","no scrolling option","one link to choose from","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/sdinc.BlueBeacon-screens/screenshot_1.png","this screen represent the search","at the top state is present","after that city location is present","below that interstate and travel plaza is present","at bottom services is available","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/sdinc.BlueBeacon-screens/screenshot_1.png","screen shows search option of a location app","on the top there is a heading search","on the top there are some text information about state city interstate travel plaza options","in the middle there is three services option cat scale undercarriage and washout express option on left","on the bottom right corner there is a search button","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.once.android-screens/screenshot_1.png","this screen loading terms and condition page allows users to see the details of privacy policy for once dating ag","the top left corner arrow icon allows user to navigate to previous page","the text next to arrow button at top displays the title of page as terms of use agreement to user","the middle screen displays the loading process of terms and conditions to users","the bottom screen displays many options for users such as contact us love stories about etc","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.macys.android-screens/screenshot_1.png","this screen is a loading page of some application","a blank page is displayed","in the blank page a symbol is displayed in the middle","the symbol is round in shape","this symbol is the loading symbol","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.jazzyapps.photoeditor-screens/screenshot_1.png","a screen to download more jokes","two buttons on top to pick english jokes pictures or gujarti jokes pictures on top","the bottom two thirds of the screen is a menu for photo editor","the choice in photo editor are gallery camera saved photo","the other choices off the editor are share app rate app and more apps","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.obdmax2-screens/screenshot_1.png","this screen is a display of some application related to automobile","at the top left corner there is a link button which is the menu link button","next to the menu option there is a label which is displayed as obdmax","below the label there are two options displayed namely elm and obd code","you can enter the code and click on search link button","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.cars.quickoffers-screens/screenshot_4.png","this screen displays to potential car sellers information on the vin number and where it can be found","the left hand side of the screen allows the user to input their zip to simplify locating the vin number","the bottom right of the dialogue box allows the user to close the help window","the upper left corner of the screen has a menu bar that allows the user to navigate to other steps in selling their car","the why do you need my vin link on the left upper part of the screen displays a help screen","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.vg.unicornrunner-screens/screenshot_1.png","this screen allows users to start playing unicorn run3d game","user can start playing by play button","user can mute and unmute the volume","user can subscribe the notifications","user can go for more games from here","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.auntieannes.pretzelperks-screens/screenshot_6.png","this screen asks the user if they want to go through with the action","in the middle of the screen is an information box this allows the user to make a decision based on the information provided","below the information box is a yes button this allows the user to proceed to sign up for pretzel perks","to the left of the yes button is the not now button this allows the user to cancel the action","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.auntieannes.pretzelperks-screens/screenshot_6.png","the screen gives the user to sign up for preztel perks","in the center on the bottom left the user can select not now","in the center on the bottom right the user can select yes","on the bottom left there is a button where the user can see maps","on the bottom right there is a button where the user can see a list","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mgo.application-screens/screenshot_5.png","this is a log in page for a streaming service which requires a personal account in order to view a movie video","login page for fandango now","asks for an email and password","asking for information","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/trap.life-screens/screenshot_1.png","screen shows some options for rating trap mix app","there is a heading on the upper middle rate trap mix","there is a maybe later option on the middle left side","there is a yes option on the middle right side","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/schan.main-screens/screenshot_4.png","screen shows scateen app log in option","on the top there is a heading scateen","on the upper top here is a filling form of username and password form","in the middle there is a log in option","in the middle there is a forgot password option","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/ringtone.maker-screens/screenshot_1.png","this screen displays the my ringtones page to the user","the user can click on the particular ringtone to make any access or changes in it","the user can scrol down to view more ringtones","the user can also delete the ringtone by choosing delete optin","the user can click back option at the top to move to the previous page","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilesrepublic.appy-screens/screenshot_4.png","this screen shows the account creation using an email and password for a particular website","the first empty field can be filled with email","the second and third field can be filled with same passwords to confirm password","there is a ok button in the middle to advance to the next screen","there is a cancel button to cancel the account creation","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.mobilesrepublic.appy-screens/screenshot_4.png","screen shows create new account page","in the top left hand corner there is a button that the user can click to take them to the previous screen","in the center of the screen there is a text field where the user input their email name","below the email there is a password text field where the user to input their password","below the password there is a button that the user input their confirm password","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/photo.photocollage.pip8-screens/screenshot_2.png","this screen displays a selection grid of images","to the top left of the screen is a back button","in the center of the screen is a grid of images which can be selected","to the bottom right of the image is a button to confirm selection","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/be.hiphopringtoness.com-screens/screenshot_1.png","the screen gives the user a variety of beats to choose from","the top left icon allows the user to click for more information","the center allows the user to choose which beat they would like","the center icon on the top allows the user to share","the right icon at the top allows the user to click to get access to more apps","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.selfiesweet.editor.top2017-screens/screenshot_1.png","screen showing the photo editor home page with a large picture at the center","the center of the page has a large picturisation of a nymph","theo top of the page has title bar with logo photo editor","the upper right corner has a done button","the bottom of the page has different tools to edit the picture","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/io.cordova.myapp1576de636c25425486bf382ae1ea5d51-screens/screenshot_1.png","this screen represent the kids bux","at the top login is available","after that username is present","below that password is present","at bottom login and register is avaialble","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.wayfair.jossandmain-screens/screenshot_2.png","screen showing register sign in window of joss and","the center of the page has a small window with two buttons register and sign in user can click either to proceed","the main page has a search button on the top left corner","the upper right corner has basket button","a row of buttons are placed at the bottom","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.animoto.android.videoslideshow-screens/screenshot_3.png","screen show login form in animoto","in top of the screen login and signup option is given for user login","in top of the screen email and password field is given for enter the email","in top of the screen login option is given for user login","in bottom of the screen login with facebook for facebook login","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.infoscout.receipthog-screens/screenshot_6.png","screen show welcome to receipt hog guide","in top of the screen guide of the receipt is given for user needs","in bottom of the screen okay gotit option is given for select the receipt","","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.powerapps2.picscollage-screens/screenshot_2.png","screen shows pics college app saving options","on the top left corner there is a back option","on the top right corner there is a share option","in the middle there is a cancel option on left and a ok option on the right","on the bottom there are five options 2d 3d and other editing options","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/trap.life-screens/screenshot_3.png","the screen allows the user to play music","the bottom center icon allows the user to pause or play","the bottom line in the center allows the user to slide back and forth to change the timestamp","the top right corner has an icon for email","the top right corner in the center allows the user to share","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.pg.oralb.oralbapp-screens/screenshot_4.png","screen showing the oral b products","the center of the page shows the oral b products arranged in eight boxes","the topmost part of the page has a timer","just below the timer there is title bar of oral b products","on the top left corner there is a filter icon","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.jamesob.doily-screens/screenshot_1.png","screen show select a color alert option","center of the alert screen select a color option are given","in alert message cancel option is given","in top of the screen setting option is given","","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.batanga-screens/screenshot_4.png","screen shows bradio app login option","on the top left corner there is a back option","on theb top there is a heading bradio","on the upper middle there is a connect with facebook and a email and password filling form","in the middle there is a accept option","N/A"
"http://173.255.245.197:8080/GEMMA-CP/Clarity/com.passportparking.mobile.parkchicago-screens/screenshot_4.png","privacy policy for parkchicago","on top left corner you can go back to previous page","below the top left corner button you can access the menu for app","","","N/A"
