"in the center of the screen and in the foreground is a dialog box asking the user if they want to unlock the background","in the bottom right hand corner of the message box is a cancel button","in the bottom left hand corner of the message box is an ok button","at the bottom of the screen is a cancel button which is dimmed and in the background"
"in the top center is a widget to capture the users face","below the widget to the left is a button to view the favorite images","to the right is a button to open the catalogue","below the catalogue button to the right is a sliding menu to choose different faces"
"the first button on the list allows the user to click to view boy baby names","the second button on the list allows the user to click to view girl baby names","the button at the very bottom of the list allows the user to view the names theyve selected as favorites",""
"at the top of the screen under the dark gray banner and on the right hand side is the number of maps available against the number chosen","at the top of the screen and on the left hand side but below the banner is an up button which may show less of the page","just below the up button are two gray buttons to select or to clear","at the bottom of the screen is a large blue button which the user should press if they want to download now"
"at the top left hand corner there is an arrow users can use to leave the current tab","under the label what there is a drop down menu for users to select a feed type","in the middle there is a popup box with a list of types of food with check boxes for users to select","at the bottom of the popup box there are options for users to edit the list cancel the change and accept the change"
"in the upper left hand corner a white arrow allows users to navigate back to the previous screen","in the upper left corner next to the white arrow favorites appears as the title denoting the location the user in the application","",""
"loading button is placed in the center of the page","go to web browser placed at the bottom of the page","add account to facebook is shown in the background","the main page has hp logo on top left corner"
"on top right corner there is a toggle button and left corner a back arrow","on top there is a circle for rass on left and a circle for treble on right","on the middle there are some line for changing sound effect","on the bottom there are two option balance on right and volume on left with null option"
"the top left corner has three lined icon on clicking that which allows menu to the user","next to menu icon there is a text title of page through which user can identify the page","the top right corner has three dotted icon to enable user to change settings","below to the menu icon there is a screen which displays options to draw parts of anime"
"at the top center a label is displayed as enter the new applock password","in the middle a popup is displayed with an i symbol","the popup is displayed with a link button","and the link button is called as ok"
"the first line is for showing user information a person can explicitly add a user information by clicking on the add button","the second field is for location and the use can check the box in case he wants a closer location","the third setting field is for acknowledging the version details of app","the fourth field shows current version and the tab update is for checking and installing the update available"
"at the top left corner there is a button users can use to open up menu items","at the top right corner there is a search icon for users to look up apps","on the right side near the middle there is a button users can use to install the app on their phone","near the bottom there is a link users can click to learn more about the app"
"the list in the center popup allows the user to scroll to find their birth year","the word cancel in the center popup allows the user to go back to the list without setting a year","the word set in the center popup allows the user to select the year","the arrow in the top left corner allows the user to return to the previous screen"
"the user can click on the new message at the top to compose new message","the user can click on help and support at the top to know about it","the user can click on credits to know about it","the user can click on the back button to move to previous page"
"the user can enter their first name at the top text field","below first name text field there is a text field where the user can enter their last name","the user can enter their email and password in their respective text field","the user can click next button to move to the next page"
"in the top center of the screen are text input fields for the user to provide email and password credentials","beneath this text fields is a check box for the user to indicate if they would like to receive marketing material for the app developers and a submit button to","in the center of the screen are text links from which the user can access the developers privacy policy and also a log in link where the user can obtain",""
"the bottom right icon allows the user to select the shopping cart and view it","there is a sound icon next to the shopping cart at the bottom right that allows the user to toggle the sound","the bottom left has an icon that allows the user to gain information when clicked","the bottom left corner has an icon where the user can share via email"
"there is a popdown settings menu at right side of the page","more button is placed at the top right corner","towards the bottom there is a text no scan","logo and label history are placed at top left corner"
"in top left corner side menu option is placed where user can view all menu","in top right corner there is search option is placed where user can search easily","in center of the screen there is a install button where user can install app","in right of the install button there is a open button where user can open this app"
"in the bottom to the far left is a button to add a question","to the right is a button to remove a question","to the right of the remove button is a button to move a question up the queue","to the right of the up button is a button to move a question down in the queue"
"in the center of the page is a brief description of the app","there is an arrow on the right edge to allow the user to move to the next step","underneath the description there are three dots indicating which step the user is on","at the bottom of the page there is a next button to allow user to go to the next step"
"on the top left corner there is a reload option","on the top right corner there is a search option","in the middle there are some text about the calender view","in the middle there is a ok button"
"in the top left there is a back button to return the user to the previous screen","the top left of the screen has a three dot menu button for the user to navigate the app","",""
"in the center is a content box displaying a loading image","","",""
"at the top of the screen is a header image displaying the name of the app","in the center of the page are four buttons to select from with various functions viewers and tutorials","",""
"in top of the screen back option is placed for go previous","in top of the screen template download and photo option is given for user needs","",""
"at the bottom left there is a skip button for users to skip the introduction","at the bottom center there are dots to indicate the page that users can press to navigate","at the bottom right there is a right arrow for users to move onto the next page",""
"on the top left corner there is a home button","on the top there is a heading chicago bus cta","on the bottom left corner there is a heading google","the upper screen is black and lower screen is white and there is no other options"
"in top of the screen state drop button is given for select state","in top of the screen city drop button is given for select city","in top of the screen interstate drop button is given for select interstate","in top of the screen travel plaza drop button is given for select travel plaza"
"at the top right of the screen there is a button that will exit the displayed screen","at the bottom in the center there is a button that when pressed by the user will allow the app to move forward with the upgrade","",""
"there is a box words the top that lists the price","there is a text words the top that describes the icons","there is a cupcake with a rainbow icon in the middle of the screen that has no use","on the top right it states the time this screenshot was taken"
"in the center of the screen is a favorite photos","in the top left corner is a button to cancel and go back to previous page","in the bottom right corner is a button to go to next image","in the bottom left corner is a button to go to previous image"
"at the top of the screen there is field for entering the users email user can enter email to proceed","just below the email field there is a continue button if it is clicked user can continue","at the bottom a message button is placed to show email error","the top left portion of the screen has an arrow when user clicks it the page will be moved to previous session"
"in top left corner back option is placed for go to previous","below the back option there is a twitter button where user can go to twitter page","right of the twitter button there is a facebook button where user can go to facebook page","right of the google plus button there is a mail button where user can send mail or view mail id"
"the main app is greyed out in the background to draw focus on the popup in the middle","underneath a hsn logo there is a message welcoming the user and explaining a few features of the app","there is an x button on the top left of the popup to close it down","underneath the message there is a blue get started button that will lead to the main app and its main features"
"in top of the screen setting option is given for set the app","in top of the screen search option is placed for searching the data","center of the screen loading option is given for loaded the screen",""
"the top left icon allows the user to go backwards","the top line in the center allows the user to enter their email","below the email line is the password line where the user can enter the password","the green center icon allows the user to press to log in"
"on the top left corner there is a logo which represents the app brand","on the top there is a heading phonics speller and sight words","on the top right there is a reward option","from top to middle there are one hundred eleven speller and sight word options in three rows and four column"
"a disk file icon is displayed at the top right of the frame","the upper half of the screen displays a audio waveform and timecode of the selected audio file for trimming","rewind play and fast forward buttons are located in the bottom center of the frame","buttons to fine tune start and end locations for audio trimming are located in the bottom left corner of the frame magnifying and minimizing tools for fine editing are located"
"on the top left is a exit but the will close the current tab","in the center top of the screen is a search bar in which the user can navigate the internet","to the right of the search bar is a home button to take the user back to the home screen","in the center of screen is dresses that the user can browse and choose for purchase"
"an arrow at the top directs the user to parent sign in","at the top below the parent sign in is an email field","below the email field is the password field","below the password field is a forgot password button"
"in the top left there is a back button to return the user to the previous screen","under directions on how to use a dongle is the email of the publisher for the user to send an email","",""
"in the middle there are a number of music genres to select based on the users djing preferences","at the top right there is a button to skip this question screen","at the bottom there is a blue button to continue to the next screen after making selections","at the top middle of the screen there is an app logo"
"user can create a preset using the windows at the center a name for preset can be entered in the field and should click ok or cancel to continue","on the top right there is a button to keep app switched on or off user has to click the slider to select","at the top part there two large controls side by side to adjust bass and treble user can scroll it control it","at the bottom also two large buttons kept side by side to adjust volume and balance user can rotate it to set it"
"there is a logo representing the app dumpster in the middle of the screen","in the middle there is an orange button show me how that directs users to the instruction page","right below the orange button there is a label that users can click to skip the app instructions","near the bottom there is a link to the policy for users to refer to the app rules"
"in the center left is a button to list different social media accounts","to the right is a button to display comments","below the comments to the far right is a button to connect to facebook","below the facebook button is a button to connect to twitter"
"at the top of the screen is a request for information","just below the request is a country and nationality selector button","just beneath the country selector is a text entry field where the user can enter their number","just right of the text entry field is a dark next button which the user can click on to proceed"
"the blue bar at the top of the white box allows user to enter meeting number url or username","black line with your name in the middle of the screen allows user to input their name","a black line at the bottom of the screen allows user to input their email address","the back arrow button on the top left corner of the white box allows user to go back to the previous screen"
"the first button on the top under the ads is gallery it shows your pictures in your phone","under gallery is a camera button that allows you to take pictures","under camera is a saved photo button to see the saved photos you edited in the app there","under saved photo is a share app button this allows you to share the app with friends or family"
"the terms of service and privacy policy links on the center left of the screen let you read their full details","the agree button to the right and slightly lower than the two blue links let you agree to the terms and get to the site","the next button at the bottom center of the screen lets you go to the next screen to choose to get news notifications",""
"on the top left there is a facebook like and a share oprion","in the midwdle there is a heading minchkin monitor","on the upper top there is a munxhkin station option","on the bottom there is a parrent station option with a pair device option on right"
"at the top of the screen is a turquoise title banner with a further options button on the right hand side","on the left hand side of the title banner is an advanced options button","in the center of the screen and in the top one third is a continue button if the user wishes to proceed","in the bottom right hand corner is a plus button in case the user wishes to add something"
"the user can enter the obd code in the entry box at the top right of the screen","below the entry box the app displays text about the results of the obd code search","at the top left of the screen the user can click a drop down menu","to the right of the entry box the user can click a search symbol icon to submit the search"
"the center allows the user to swipe to gain access to more locations","","",""
"the user can set alarm on there phone","while setting a alarm ad will appear on screen if you want to view select yes get it or select no thanks","the user can set a alarm range","the user can set a alarm by day by day as they like"
"in the top left there is a back button to return the user to the previous screen","at the bottom of the screen there is a long purple button to continue to the next page","the first text box at the top of the screen is where the user enters their email address","the box under the text box for the users email address is where the user enters their name"
"at the top of the screen is a purple bar and on the right hand side is a more options icon","just under the purple bar is some instructions for the user the user is asked for their zip code and perhaps other details further below","in the foreground and in the center of the screen is a dialog box explaining to the user why the vin is needed","in the bottom right hand corner of the dialog box is a blue ok button for the user to click"
